V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_A01_02,726.2228,13.8131,0.0888,0.2344,0.0065,3253.3669,0.5755,91.6879,0.3548,0.002,0.4146,11.1662,0.4519,0.4828,0.0666,0.4093,1.1894,0.1,0.4494,0.0833,0.0439,1.3216,1.8057,1.5247,27.9411,7.8948,0.2278,0.2679,0.3139,0.2912,0.2354,71.1316,2.9305,0.6809,1.4712,1.3851,3.0559,4.3632,2.662,1.5973,21.2623,14.461,1.9618,10.8638,0.0
IRL_A03,0.0,13.2064,0.0005,0.0002,0.0,134.3886,0.0,0.0,0.0,0.0,0.0014,0.0379,0.002,0.0031,0.0,0.0001,0.0047,0.0,0.0,0.0,0.0,0.3993,0.0,0.0,0.0,0.0417,0.0,0.198,0.0,0.0,0.0,10.7103,0.0008,0.0,0.0,0.0018,0.0132,0.0,0.0,0.0007,0.0,0.0496,0.0,0.072,0.0
IRL_B05_06,0.0204,0.0,0.0611,0.0454,0.0642,0.0378,0.0246,0.0,0.0504,56.1585,0.0034,0.0831,0.0057,0.3022,0.8693,0.0019,0.0002,0.0014,0.0042,0.0052,0.0019,0.7661,12.5867,0.0002,0.006,0.0076,0.0052,0.0013,0.0,0.0183,0.0,0.0048,0.0087,0.0,0.0009,0.002,0.0002,0.0017,0.0023,0.1887,0.0263,1.356,0.0062,0.0025,0.0
IRL_B07_08,35.8826,0.0578,0.3748,146.1206,0.7164,14.9718,0.279,0.4145,2.3384,20.9919,2.522,59.6772,3.4606,148.2319,141.007,2.1687,8.8866,0.6668,2.8774,0.1329,0.4226,22.0481,0.6796,4.7898,506.482,11.1107,1.1862,0.0152,0.2489,3.32,0.2756,3.897,4.5087,1.9957,1.8397,0.7714,30.6002,3.1515,1.1544,2.0423,0.3338,2.3977,3.1662,1.1291,0.0
IRL_B09,0.1612,0.0506,0.1713,1.1753,0.2718,0.3254,0.001,0.0127,0.1032,0.8907,0.6516,0.6167,0.0238,0.5428,0.082,0.0714,0.0115,0.0007,0.0116,0.0007,0.0002,0.0036,1.6659,0.052,6.2035,0.0846,0.1428,0.0022,0.0006,0.09,0.0001,0.0156,0.001,0.0,0.0158,0.0167,0.3029,0.0415,0.0283,0.0151,0.0091,0.0572,0.0271,0.0065,0.0
IRL_C10T12,686.8074,15.4301,0.0139,1.0093,0.1232,2771.0271,6.5627,0.9851,3.1939,0.3305,10.652,203.8157,4.2365,1.5457,0.3169,0.99,30.101,0.2739,1.2935,0.1604,0.043,2.2,5.7597,6.525,23.7934,165.9217,9.7878,0.8412,6.0617,9.4257,5.1772,1682.6622,8.9865,10.4959,42.7321,30.8849,1.3416,123.852,38.0538,10.9601,2.5963,59.2743,31.5221,19.6535,0.0
IRL_C13T15,1.9743,1.2833,0.0058,0.1278,0.033,2.2988,70.7163,2.0938,2.6793,0.2204,0.6449,7.5326,1.0292,0.6722,0.159,0.5161,9.7627,0.1051,1.1387,0.1363,0.0273,12.099,0.3538,0.8405,30.7486,15.2717,0.7027,0.031,0.3403,0.2499,0.5907,7.5737,3.8618,1.0602,3.7015,1.616,8.3992,15.1096,2.9313,3.2711,0.3959,17.2159,3.3405,3.9179,0.0
IRL_C16,1.3599,0.0621,0.0217,0.0791,0.0899,26.98,0.6306,203.7719,3.7596,0.3315,0.39,6.657,17.7702,4.8683,0.5999,4.9899,15.9523,0.1152,3.2277,0.3509,0.0191,288.2627,1.0724,0.4925,421.1683,5.6109,0.7793,0.0345,0.2264,0.6162,0.3728,6.8249,4.2365,3.2096,3.9847,2.1932,66.9716,10.5273,2.3579,0.7177,7.3892,3.148,2.4587,2.5498,0.0
IRL_C17_18,6.7391,0.2686,0.0049,0.2968,0.0619,131.077,2.3798,4.0491,240.9626,0.2639,7.8153,104.7434,3.3007,6.6883,0.8633,2.1688,123.1986,0.331,3.5932,0.5678,0.0856,20.5501,11.4997,15.8403,120.2994,110.2748,8.6238,0.0713,1.0965,13.9199,7.5463,26.939,668.3739,9.9913,53.6265,105.5072,25.7697,352.6437,10.1267,17.5554,82.628,43.4073,23.0397,15.6234,0.0
IRL_C19,131.8683,18.0098,0.1878,25.1722,2.1048,145.4262,3.9247,5.5603,2.0318,127.0633,0.9107,29.9474,29.6043,38.3011,73.9778,3.3276,41.8872,4.8989,7.3623,1.3273,0.0475,341.1103,425.9932,10.5357,207.7539,188.6673,237.9725,6.9513,119.7263,33.2078,4.6266,78.4716,2.7945,32.8579,15.7508,17.3876,16.9095,29.8924,12.1868,31.9255,13.3948,53.3457,9.8453,9.2424,0.0
IRL_C20,9.4573,0.02,0.0038,0.1071,0.0324,4.2311,0.4286,1.9112,2.3263,0.1433,11.5675,74.9576,3.2109,1.2489,0.3547,0.6253,41.3337,0.2917,0.9413,0.2117,0.0125,1.7276,0.4137,0.5754,6.612,1.6028,0.2206,0.0048,0.0783,0.116,0.0402,0.6539,2.7983,0.1759,0.966,0.6242,0.2818,2.9947,0.7035,0.368,0.2287,8.4088,0.6197,0.8162,0.0
IRL_C21,43.2413,0.223,0.0472,1.413,0.0853,50.7726,5.7162,3.728,13.2636,2.7326,57.0605,734.3531,7.6374,3.2594,4.8202,2.9155,99.5924,0.7505,4.6314,0.8221,0.1709,29.7702,3.5701,5.7952,39.9921,8.3061,1.8486,0.0573,0.8792,0.5095,0.363,6.8759,34.5798,1.5751,13.6221,4.8257,3.2746,35.7497,2.2691,3.756,4.6195,192.0331,3.0862,2.4794,0.0
IRL_C22,4.0436,1.3314,0.0364,1.3247,0.1879,79.6893,1.2096,4.4456,5.2065,1.8018,0.6038,49.5442,92.6178,5.5156,1.7497,6.4703,170.7057,2.9668,20.4016,6.5832,0.3541,47.8154,6.0256,4.4703,190.525,31.1471,11.1945,0.1599,1.8131,2.0037,2.1205,2.835,2.5361,27.7561,13.9091,3.0573,13.9909,27.3492,4.3025,3.6222,1.2056,72.9761,1.9325,2.8067,0.0
IRL_C23,13.5496,0.1667,0.1492,42.0054,0.6626,53.2159,1.5102,2.402,4.674,6.8053,1.6521,37.4076,20.8643,268.6899,4.0754,13.5911,40.0929,1.7239,12.6687,0.7074,0.1148,130.5427,3.0119,12.1325,1286.145,40.1644,4.4941,0.069,1.2495,1.9417,0.7884,5.6671,12.3869,12.2541,5.6628,1.3335,141.7409,6.1306,1.1781,9.1572,1.2551,6.5141,8.7682,2.5768,0.0
IRL_C24,0.3358,0.0438,0.6036,0.0386,0.6202,25.8335,0.2296,5.0131,1.4282,0.1522,0.4094,10.8593,18.3122,18.5901,62.9853,217.3847,111.1199,2.911,112.3385,32.7969,5.9949,48.4045,0.3495,14.3919,72.734,3.7834,3.3839,0.0074,0.0433,0.074,0.1937,0.0157,1.6324,4.4189,3.2031,0.1949,0.2232,0.9757,0.2522,0.8861,0.0658,0.077,0.0849,0.3313,0.0
IRL_C25,52.3871,0.8514,0.6129,1.7505,0.9079,85.4156,3.965,29.4307,8.4234,0.4791,1.9332,53.3704,47.9343,20.6277,18.3375,102.3376,309.8544,6.542,245.364,19.4948,0.5344,114.763,20.8219,4.8995,619.7351,16.7978,7.1286,0.371,0.5804,1.0758,0.7124,2.8277,17.8236,6.1476,8.1743,5.7751,16.8288,14.6508,2.3185,8.106,18.5996,6.7261,1.8401,2.0427,0.0
IRL_C26,32.0128,3.1812,0.1969,4.7026,0.4975,95.2219,14.1721,5.6962,51.6639,21.0714,5.5787,104.731,12.8164,12.8151,12.5078,12.1767,924.3583,42.4838,34.5249,43.9201,1.7793,79.2791,62.8586,8.5605,193.7659,63.5892,34.0835,1.0963,16.3623,8.4888,6.6964,31.2521,147.6321,198.3105,161.0177,38.6628,24.408,90.211,12.1363,13.5163,24.9773,116.9672,11.7907,7.5345,0.0
IRL_C27,2.4489,0.197,0.0111,0.3608,0.0955,5.6999,0.2988,0.4244,1.789,1.6185,0.2568,2.7628,1.2548,0.833,0.9235,1.0042,120.721,18.2795,5.6282,2.8711,0.9044,6.4046,5.2813,0.3191,41.5522,3.7877,3.3058,0.2484,1.2506,0.4312,0.2991,1.7977,5.0012,8.0407,7.9818,1.1922,0.9312,3.2729,0.9585,0.9953,0.511,3.4883,0.5813,0.626,0.0
IRL_C28,44.9447,0.422,0.2424,2.5568,1.335,46.0607,2.0033,9.5543,7.3016,2.0283,3.8128,94.5758,30.4147,13.3791,8.4614,31.4008,322.7131,7.8626,193.5061,7.7469,1.0816,28.3362,11.4068,10.2806,205.4829,28.0848,7.1489,1.7006,1.6014,1.1186,1.1039,1.7335,11.0785,13.4758,22.29,5.9307,7.6656,19.907,13.9696,7.8344,1.795,7.0553,2.5403,5.8779,0.0
IRL_C29,0.5764,0.0198,0.003,0.0469,0.0194,1.4938,0.0658,0.1249,0.3801,0.0939,0.0832,2.105,0.8017,0.2226,0.1088,0.3359,5.5454,0.049,1.709,16.1569,0.0095,0.7986,0.3421,0.4994,6.4638,7.6599,3.6564,0.0067,0.0786,0.2755,0.2712,0.5343,1.0449,0.5951,3.8678,0.9368,0.9621,4.1854,2.2479,0.2242,0.1076,0.7414,0.1645,0.4554,0.0
IRL_C30,1.0192,4.5203,0.5567,0.5279,0.0125,0.0006,0.0615,0.001,0.007,0.0026,0.0069,0.5492,0.0104,0.0012,0.0006,0.0154,1.3778,0.0013,0.5333,1.12,24.0024,0.0271,0.0,1.1019,11.0883,1.4942,9.6181,2.4829,17.2723,4.1472,0.8177,0.9907,0.0621,1.5289,5.0877,0.9088,0.4506,5.6685,1.9811,4.0355,0.1558,1.212,1.3201,0.6567,0.0
IRL_C31T33,18.469,1.7853,0.1747,2.2826,0.9936,49.5877,4.1235,19.7905,4.6173,4.9428,1.2472,21.5832,27.7561,8.5323,6.8888,37.8942,215.8918,10.8,75.0064,10.531,3.5112,1284.4333,18.5895,6.7304,421.7952,478.0509,11.8906,2.1815,5.7267,3.6188,1.1734,201.5444,11.3391,10.8032,267.1277,77.8314,9.6945,416.4794,105.1694,86.3219,114.0299,394.2457,23.751,17.8066,0.0
IRL_D,86.9185,9.9494,0.6184,25.3849,1.4147,346.1393,10.9099,39.8223,21.4782,0.77,21.1966,376.265,46.7587,85.0139,42.1162,21.0937,384.6767,11.6621,36.3455,6.438,4.1144,66.4115,1018.878,53.5304,110.0336,307.0114,17.7029,0.6584,3.4078,15.7837,1.3031,120.3478,47.9449,47.0573,124.8194,47.1714,30.3957,102.6622,55.0719,60.6133,147.4386,74.5743,45.9071,24.1887,0.0
IRL_E,12.7169,4.0543,0.2459,1.4737,0.4352,147.7218,13.8444,29.8956,30.6331,0.0345,6.0104,179.9056,9.6556,6.9147,93.6054,61.7829,59.0308,0.4749,22.1697,30.5471,1.2916,27.5289,24.3444,405.1704,238.6926,188.6711,5.5128,0.6407,3.0741,7.7489,2.5941,54.9211,60.3438,22.0127,73.3005,22.3459,40.6875,83.4062,20.0755,19.478,13.0006,48.046,17.2311,32.5644,0.0
IRL_F,126.0662,8.9159,4.2875,30.8637,2.4644,66.1663,2.5265,33.4638,11.3169,7.2665,2.2674,54.6621,6.1485,13.9323,5.0456,12.1585,128.6849,23.1607,9.2956,1.5992,5.4682,39.7198,51.0432,91.8435,14809.4452,116.5448,17.0063,0.3065,6.5829,56.4027,39.3107,40.0733,26.0904,96.5878,18.035,115.0353,1496.7085,251.1504,50.4997,335.9981,181.6581,26.3418,26.6707,14.5275,0.0
IRL_G,332.5203,19.5792,2.2182,64.0594,3.5146,1361.7248,85.4406,56.7582,235.0151,96.5039,21.9414,275.3564,71.9494,114.6386,59.2279,92.3827,1187.3819,28.6057,136.6947,41.1723,8.3151,714.0315,241.5163,59.8813,978.4006,837.3886,248.5919,11.5352,78.4988,96.2136,32.1974,579.2597,748.1084,86.4516,502.048,207.6864,112.0969,574.0259,179.6088,100.6204,117.4688,258.7373,57.871,62.5273,0.0
IRL_H49,30.6173,3.7482,0.8318,98.0228,1.718,654.7287,18.3819,55.0543,37.2312,19.9581,4.0729,44.5826,54.3061,106.3757,15.9832,43.4409,452.3659,15.9841,64.194,12.5832,2.2717,129.1559,24.3905,34.7811,155.4586,553.9474,101.7037,3.6123,6.8024,75.3332,28.3857,69.6587,70.97,20.9809,111.8226,49.8574,20.7211,157.2265,41.123,73.2777,34.3359,69.6115,10.849,12.7596,0.0
IRL_H50,0.591,3.5194,0.0088,1.1457,0.1232,8.2805,0.2565,0.6275,0.6258,0.5804,0.1919,1.9283,0.7091,1.429,0.3323,0.6529,9.1287,0.275,0.9631,0.2429,0.0622,2.1763,0.5711,6.0507,3.7829,27.5698,1.5233,20.2116,5.102,13.2241,8.333,7.6499,6.4028,8.4387,2.3553,4.6475,0.3473,9.5797,2.8474,1.2999,0.1767,0.3245,0.5953,0.5436,0.0
IRL_H51,4.8254,0.3224,0.0423,1.4304,0.0508,20.4798,1.0445,1.3188,2.0627,6.8608,0.9547,8.4965,1.8079,3.2225,2.3092,3.1263,24.9493,0.7143,4.1943,1.2756,0.5184,10.4747,5.2779,0.6848,19.3851,6.6494,2.6125,0.1078,3.831,6.6034,1.3075,6.4032,5.8167,1.1668,3.7996,4.3614,2.924,8.9757,18.4483,1.2061,2.766,4.0433,0.8909,0.6801,0.0
IRL_H52,5.1458,4.219,0.0195,1.4871,1.5026,24.6513,0.9913,1.07,2.1666,3.1026,2.8122,14.8457,3.2849,4.0965,2.3809,3.8042,55.8761,0.8393,5.6982,1.1365,0.6739,11.4108,4.5118,13.2966,27.4959,859.2445,219.471,26.6134,61.7767,215.1241,31.0243,40.4648,25.1495,17.0943,14.5239,100.7782,45.9436,167.0473,46.2487,1.1534,1.2137,2.6671,7.0862,6.7077,0.0
IRL_H53,0.1602,0.0,0.0058,0.2534,0.0296,4.3472,0.8263,0.3749,0.9587,0.0009,0.207,0.8966,0.5787,0.7629,0.178,0.5697,1.9187,0.4477,0.6161,0.3429,0.0651,0.2102,0.0292,1.1861,2.4845,40.8709,5.5357,0.3526,0.8316,5.9968,106.1189,7.8478,5.751,34.7027,172.4743,108.9512,5.0938,71.4712,24.6298,1.0163,0.9556,2.5195,6.4071,8.779,0.0
IRL_I,24.8763,1.4139,0.2649,5.1937,0.2152,162.7085,7.7912,8.7257,19.0058,0.0122,27.9115,86.2927,18.0163,13.3978,4.0472,11.5972,280.2793,6.8822,25.4132,8.5748,1.9371,57.1243,2.9538,7.0238,55.6368,274.4527,13.2357,1.5511,29.1158,140.135,12.4925,47.322,47.6175,56.8446,155.5412,47.4023,20.3923,277.5839,766.4158,34.2891,40.8099,78.9385,25.2325,14.2241,0.0
IRL_J58T60,9.894,0.4005,0.0024,0.2886,0.3386,12.5824,0.4903,1.9638,70.9317,0.0027,7.2724,62.4665,1.2036,2.1873,0.2515,1.0265,115.933,0.2353,2.3168,0.3436,0.0916,16.4635,26.848,31.7675,267.7799,155.1386,16.8608,0.18,3.6764,23.6389,6.9364,42.3174,738.7514,29.0999,161.8642,208.1511,55.9177,525.1536,55.3395,27.4364,216.8233,32.5557,22.6363,30.7364,0.0
IRL_J61,34.9407,1.5777,0.15,5.9402,0.4215,149.708,8.6491,10.4058,25.2531,0.0177,9.8223,77.9747,28.4955,32.8493,4.3543,13.6844,214.7548,9.2247,34.2868,7.613,1.4749,38.2701,10.4791,26.3558,46.6941,397.0328,12.1316,1.4877,11.0268,23.4781,3.1381,118.2651,120.6725,2527.2478,327.3309,675.2374,115.4778,425.8242,118.6042,81.9734,78.3164,45.7015,37.2949,35.9967,0.0
IRL_J62_63,7.0116,0.5394,3.0682,3.2613,0.166,71.6351,4.5439,4.9868,37.4835,3.4976,21.6234,896.8925,10.479,8.7199,2.8603,8.6325,430.5095,27.0068,18.4107,4.1156,0.7659,40.7456,15.8894,27.1503,80.4239,154.4911,38.4873,2.4303,18.1098,46.886,2.355,31.36,165.6738,60.3475,1658.4379,215.5459,57.2827,269.1666,74.6586,41.2882,20.5132,77.4879,17.5201,26.4558,0.0
IRL_K,211.9855,20.7597,4.9903,39.6604,2.3274,868.3858,29.2633,22.9986,98.8469,23.3216,73.1425,834.4997,34.7634,104.5992,39.1564,88.9022,718.5653,22.9312,155.4968,32.9607,11.1367,187.765,145.2788,71.7027,415.2867,796.9711,101.5164,5.1183,76.5091,106.0529,18.0963,157.7489,366.8631,222.3351,1073.6824,12711.5006,2020.6972,832.1651,372.7421,43.9962,87.9439,79.2051,103.7398,96.1524,0.0
IRL_L,20.9264,0.0,0.2498,1.0646,0.5122,13.7561,1.7316,1.8355,3.2225,0.0013,0.1437,5.7427,4.7906,2.8802,0.2904,2.2571,10.2144,0.8173,4.9652,1.2999,0.0861,5.389,0.6967,22.9802,610.1459,1101.9179,28.9531,2.9734,16.6676,46.9778,19.2949,137.2641,50.4396,69.7131,151.6671,164.8504,111.4894,533.9673,56.6106,381.8077,57.2879,79.0683,127.398,66.255,0.0
IRL_M,5.5758,0.9435,1.5215,5.1982,1.6074,733.0641,5.196,10.9515,108.295,0.0287,324.2583,3179.2259,18.808,21.9226,2.2871,11.0903,2536.9151,43.495,41.8104,5.59,1.5033,47.8072,17.6434,20.4451,123.9219,332.5219,40.5123,2.1628,19.7497,30.6424,11.2036,56.7512,540.6917,133.3701,753.846,480.2911,102.868,855.5291,191.62,66.2401,31.4319,38.354,29.2259,34.8357,0.0
IRL_N,7.1349,3.2501,1.0217,39.7929,4.0613,415.2765,4.684,14.3438,47.2611,0.0559,180.1121,790.4558,23.0944,51.0974,2.7692,28.5272,1141.3887,40.4257,32.2549,5.0774,1.7446,40.3214,26.8979,56.4823,788.115,324.6221,161.4116,2.5858,123.8841,94.9943,11.9529,90.119,245.153,47.1668,480.7047,214.7372,69.2912,424.3283,442.8991,17.8369,77.6717,24.1056,59.855,54.3488,0.0
IRL_O,44.7864,2.2048,0.2508,0.4024,0.1221,18.1247,0.8258,1.0162,1.083,0.0024,0.7056,32.1304,2.8335,0.635,4.7342,6.7142,6.7394,2.1139,12.2954,4.164,2.0865,11.3863,2.2452,3.4521,47.7527,24.0268,72.9066,0.53,2.2767,0.3425,5.4014,5.1206,4.8631,3.363,0.5973,4.3147,184.4895,273.5849,46.0504,16.5316,0.8764,22.8484,14.3045,3.2323,0.0
IRL_P,0.4534,0.0,0.0021,0.0076,0.065,7.1665,0.2386,0.1258,5.629,0.004,4.0757,121.504,0.6588,0.2915,0.1844,0.4494,46.3838,0.71,2.0187,0.2656,0.0877,1.5531,0.6629,7.8638,5.266,9.8409,4.8988,0.1506,1.0617,17.5637,1.7842,21.4716,21.7619,4.9095,130.0496,6.6104,74.627,118.5659,44.3211,24.6953,483.4351,345.7148,7.2889,4.4599,0.0
IRL_Q,65.3133,1.0082,0.0026,0.0018,0.0475,18.6526,0.8844,0.2744,1.6923,0.0127,2.1748,98.4418,2.3242,0.9226,0.4359,1.8739,65.2564,1.68,4.1597,0.508,0.3685,7.4357,2.5888,5.9098,12.6465,18.9074,1.7942,0.1692,0.943,1.3031,0.475,19.7037,6.558,4.8657,16.5941,18.6057,2.0824,25.2127,2.7789,1.6984,5.5641,4122.8681,3.0911,9.423,0.0
IRL_R,12.5748,0.2644,0.0082,0.8122,0.0334,33.7663,2.2349,0.5855,2.1837,0.0154,0.8576,39.2489,1.3388,3.7578,1.0721,1.2423,101.7118,1.363,4.1312,0.3129,1.2916,8.021,0.8713,9.3187,8.2843,35.6546,7.395,0.1493,4.3832,30.1676,6.621,74.6363,90.3787,39.2459,156.7445,35.0702,18.3867,130.3453,27.8717,35.5994,264.495,0.3923,619.0515,118.7038,0.0
IRL_S,13.7864,6.6616,0.9317,6.1346,0.3278,51.654,4.7802,6.741,8.9858,0.0483,1.3853,21.8554,9.3065,12.8847,1.6355,9.6885,31.3306,2.6668,11.6854,2.2989,1.1431,24.8892,2.6491,35.7361,4.5546,25.4282,14.4934,0.7338,7.5008,8.9086,7.4811,65.1641,71.5079,18.4976,38.6417,32.5718,9.3228,133.0172,72.3807,13.2249,85.4231,56.0445,71.9709,180.8479,0.0
IRL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
