V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_A01_02,1641.1278,1.7065,0.4509,8.0744,0.0023,3799.8575,17.2653,822.5911,363.7633,0.012,0.7432,3.2872,35.3777,0.5156,0.0466,0.0159,0.005,0.0821,3.0159,0.0892,0.0943,10.0234,59.4342,0.0038,4.8936,5.5463,0.0202,17.9344,0.3253,5.4705,0.0003,198.8691,0.6013,0.0131,1.012,0.7914,0.4307,3.2864,70.8459,18.9452,3.031,8.4436,0.2124,20.2226,0
CHL_A03,0.0468,383.1148,0.0027,0.0956,0.0,2782.0002,0.0181,0.0161,0.0266,0.0092,0.4954,0.018,0.0043,0.0165,0.0113,0.0284,0.0005,0.004,0.0211,0.0035,0.0026,0.154,0.0086,0.0051,0.0143,0.2013,0.0837,10.8005,0.0144,0.0216,0.001,13.0631,0.0129,0.0426,0.1119,0.1312,0.0122,0.1172,0.1361,0.5288,0.0837,0.6094,0.5429,0.9136,0
CHL_B05_06,0.3835,0.1014,3.6913,28.5127,0.6213,7.1265,0.812,0.8003,1.7399,254.146,6.2846,2.2277,0.4055,1.0417,13.5628,0.9244,0.0098,0.1006,0.4324,0.16,0.132,0.2538,114.5986,0.2243,20.0355,8.1254,3.3306,0.0675,0.0824,0.806,0.0754,0.9024,0.3678,0.0658,0.9629,0.4147,1.8904,13.0798,3.4164,0.1576,0.2169,0.1375,0.3135,0.3427,0
CHL_B07_08,144.0628,3.1933,31.7647,17364.877,4.5,125.8527,22.6091,34.3604,78.3688,15.1021,694.6348,19.4369,112.1393,550.2872,998.9874,980.4181,8.0788,264.0001,212.1177,62.7354,28.3381,257.9063,8.6232,26.9472,1471.0261,98.6249,15.3462,6.2986,3.2495,7.1158,0.6081,6.8536,10.9175,4.4457,19.1374,38.9655,28.6114,120.0958,56.2219,21.5706,13.9762,30.2806,13.758,5.6755,0
CHL_B09,4.3911,0.0189,1.212,0.9823,0.2646,0.5318,0.1013,0.063,0.2895,0.0465,23.4358,0.0705,0.3259,21.8146,0.2704,0.2074,0.0005,0.0078,0.5881,0.0083,0.0066,0.2439,0.0044,0.0168,12.5828,0.1414,0.0073,0.003,0.0019,0.0011,0.0005,0.0254,0.0075,0.0025,0.0419,0.007,0.0054,0.0162,0.1145,0.0552,0.0209,0.0525,0.4073,0.0232,0
CHL_C10T12,737.8417,617.9777,3.5134,50.8417,0.14,2677.7725,20.8704,10.538,25.1049,5.8962,62.6153,11.2919,15.0297,10.4596,3.383,5.9135,0.0695,1.0904,3.7797,1.1852,0.9415,4.911,14.8581,0.943,36.9007,276.3842,14.6243,39.1422,2.7259,4.4353,0.63,1151.6972,4.1628,14.8932,5.6019,13.5197,8.7612,18.6852,24.7221,53.0444,22.989,65.3277,3.8198,43.0785,0
CHL_C13T15,8.6571,5.4177,0.0801,16.1122,0.0219,18.0774,128.6814,2.2142,12.1726,0.7328,4.6053,1.8039,8.5275,2.275,0.9124,3.4082,0.0348,0.4934,1.888,0.5652,0.4149,13.6087,1.4094,0.5414,113.3309,37.0329,3.7112,0.6714,0.925,1.5565,0.0937,7.3009,2.3774,6.3301,1.1164,8.8867,1.9194,4.5217,7.0421,10.0683,3.7173,5.0541,1.1166,4.2366,0
CHL_C16,19.5389,1.2948,0.4245,16.168,0.0222,31.7201,2.6866,183.0934,88.767,1.4235,3.4858,0.6671,2.0553,6.09,0.9075,3.1824,0.0896,1.6136,1.6917,0.5506,0.4363,33.6936,22.1525,0.5087,424.1054,22.4783,2.0474,2.1543,0.4233,0.957,0.0937,1.8725,1.5673,3.9311,0.9196,2.7464,1.7214,3.1034,6.2779,2.7354,1.3096,2.5826,0.5163,5.193,0
CHL_C17_18,43.7181,2.5088,0.46,130.3323,0.1763,460.9266,20.2512,167.8555,622.7541,12.6152,63.7578,37.9442,33.9076,26.3787,3.8985,10.2322,0.2382,3.5042,11.7857,1.33,0.7373,34.198,237.6331,5.5732,367.1472,487.9729,26.9447,2.2907,1.3416,7.5138,0.7143,32.3174,160.4375,26.8798,5.7861,106.7448,41.638,185.7713,63.4435,49.4608,72.3009,48.1507,7.5042,51.9877,0
CHL_C19,203.8255,94.6139,5.6821,411.139,1.288,119.4318,8.0041,11.5767,50.3669,69.74,92.056,2.4748,9.1949,48.5824,30.9968,9.5323,0.1469,3.0353,6.9487,1.9741,1.2594,9.7487,228.268,10.0976,241.03,138.0219,1046.2064,358.7387,223.9378,21.8527,0.4964,28.4035,2.3708,16.2536,2.8069,4.9496,6.0132,28.9511,60.7689,43.1048,15.4709,44.0228,3.3736,25.9471,0
CHL_C20,310.0875,16.0961,2.6342,503.2538,0.8233,178.645,45.5644,43.8158,145.1438,46.69,551.9307,27.0532,320.6433,78.9592,16.2663,24.303,0.4125,6.8463,16.8002,3.6317,2.1667,29.2534,11.6212,8.8607,289.3906,61.8042,51.3613,15.2567,9.7265,2.8336,0.5678,18.434,9.4001,9.5397,5.522,6.2505,7.5007,25.9801,48.5133,40.2742,24.1188,53.1289,3.2813,26.1715,0
CHL_C21,65.5602,18.1465,0.0679,15.6908,0.0185,46.7804,1.4248,1.4373,5.2549,1.1064,12.6292,75.4942,7.3737,1.1638,0.4891,0.7837,0.0707,1.0789,0.524,0.14,0.225,1.0284,0.4139,0.2219,7.1919,8.2553,0.9312,0.2177,0.1621,0.3278,0.0312,0.8945,2.3827,2.0256,2.3241,0.524,1.0354,8.6218,5.2648,22.9019,1.2155,324.9215,0.4653,0.8647,0
CHL_C22,69.625,12.4629,0.4686,157.9404,0.6778,340.9965,12.2696,5.6405,42.4443,5.2649,48.0961,21.1883,125.897,6.0708,2.5216,12.4112,0.1807,3.2566,9.3355,5.2448,2.0599,13.5857,11.543,0.7078,315.0995,194.2045,107.8769,3.6526,2.8562,5.9641,0.2705,10.7108,4.5009,13.5343,2.4999,12.1767,3.4158,9.577,17.3485,12.7318,9.8254,16.1422,1.2572,9.8237,0
CHL_C23,17.5703,1.7096,0.0593,78.9141,0.2632,43.2696,2.0968,3.3899,6.7763,1.0525,22.1642,7.7198,19.8444,286.5189,5.4402,19.7114,1.0861,17.6065,16.0647,1.9619,0.9594,5.5821,3.4312,0.1451,1954.1407,42.2723,12.8585,0.112,0.2227,0.6723,0.1143,10.5333,0.9472,6.9431,0.5287,1.4865,0.4426,2.1133,2.1398,3.7986,9.0378,3.1881,0.1724,3.0262,0
CHL_C24,24.0204,1.04,1.2745,902.9188,0.0675,24.5703,3.6541,4.6151,15.4698,4.7547,38.4764,2.2351,38.9682,12.6807,223.0647,253.5432,1.4215,44.5455,96.056,31.3065,10.9414,44.2844,3.123,1.773,520.9878,7.6893,1.8787,0.1489,0.2374,0.514,0.091,1.514,1.3151,1.5915,0.6114,1.562,1.0032,7.4404,5.0924,4.1045,1.9145,6.2214,0.2517,1.9453,0
CHL_C25,29.7978,9.9151,1.7352,559.8728,0.3189,108.9127,8.6725,20.7225,34.4704,1.4074,29.9937,2.7568,16.9102,19.7952,15.1487,115.1911,0.725,14.8395,28.1153,8.7964,5.7733,28.7919,40.4612,1.639,1222.9921,57.7203,47.0263,7.8716,6.3586,6.8518,0.4488,16.1357,8.9834,20.7741,6.9101,21.302,9.0353,18.0203,49.871,21.1583,11.4851,26.2201,1.8569,8.5647,0
CHL_C26,0.4303,0.0722,0.0184,3.2276,0.0062,0.5884,0.0659,0.114,0.299,0.0161,0.1212,0.0403,0.1046,0.0653,0.0705,0.0774,0.0124,0.0482,0.0598,0.0136,0.0092,0.0458,0.4874,0.0309,0.6592,2.3126,0.5065,0.1537,0.1235,0.2133,0.0119,0.2287,0.1008,0.5339,0.8176,0.5319,0.3121,0.4462,0.9757,0.7507,0.569,0.6277,0.0558,0.1982,0
CHL_C27,2.7867,1.6115,0.0228,9.3848,0.0031,1.9167,0.1789,0.2511,0.6086,0.1936,1.6808,0.5887,0.3829,0.7767,0.839,2.5447,0.6929,22.3575,10.3871,2.6441,1.6163,2.4308,2.7828,0.0287,65.0966,46.5152,1.2901,0.0318,0.0549,0.313,0.0063,0.8046,1.7995,4.3411,0.9892,0.8213,1.1623,3.7308,6.6723,1.9955,1.8963,26.6434,1.8332,4.6764,0
CHL_C28,25.3608,9.3351,3.6041,368.336,0.4961,30.0262,2.6019,8.0187,20.0664,2.0584,12.3041,2.1742,9.5095,7.2941,5.0202,5.4846,0.2933,5.3398,19.7244,3.8362,2.7584,14.6238,45.3682,3.3215,82.3053,87.9839,36.0063,12.7536,14.9522,8.4781,0.5697,8.9361,4.8239,25.509,9.9655,20.5326,10.9638,21.7855,58.5664,31.5728,9.7262,20.5894,2.4841,3.9391,0
CHL_C29,0.0029,0.0002,0.0,0.002,0.0,0.0007,0.0001,0.0197,0.0,0.0,0.0001,0.0,0.0002,0.0002,0.0001,0.0002,0.0,0.0,0.0001,0.0013,0.0001,0.0,0.0001,0.0001,0.0043,18.9844,0.0234,0.0001,0.0,0.0008,0.0001,0.0003,0.0,0.0,0.0,0.0462,0.0004,0.0015,0.0067,11.3291,0.0002,0.0006,0.0001,0.0015,0
CHL_C30,3.9466,0.0018,0.2632,0.5678,0.0,0.0043,0.0,0.0,0.0001,0.0051,0.0002,0.0,0.0014,0.0,0.0,0.0573,0.1146,1.0285,0.3125,6.2845,8.246,1.7546,0.0046,1.0047,2.2231,36.7881,59.6489,3.325,13.8011,0.7661,0.0,0.7449,0.0001,0.0746,0.1027,0.0,0.4107,2.9139,12.8834,42.4773,0.0007,0.2415,0.102,0.5474,0
CHL_C31T33,28.6789,4.8263,3.0312,601.7745,0.8452,35.1471,9.5152,12.8054,28.713,0.4476,8.3051,4.0087,10.0748,5.3144,5.737,0.7182,0.0664,0.9592,4.2303,0.128,0.1139,6.5533,90.1417,4.8341,66.0847,78.4757,71.3732,27.2887,18.7123,16.008,1.332,16.2251,10.1439,58.2594,5.177,53.7388,12.2433,21.1714,64.1152,31.2177,20.1691,48.8797,3.1987,5.751,0
CHL_D,132.2645,16.0521,2.031,2789.1373,2.1535,374.5454,37.7513,149.808,410.7173,273.5158,222.7753,11.159,97.9699,131.4899,49.3493,74.0875,0.5678,5.4736,29.2221,12.273,4.1878,25.2963,5316.5572,94.0561,121.0705,436.4475,118.9503,4.2076,6.6462,74.3978,3.1334,144.224,18.4946,92.3612,16.6279,101.5904,159.3344,76.5491,105.3755,232.5516,150.5088,221.4752,18.945,49.3566,0
CHL_E,4.1462,1.2893,0.3718,53.2561,0.4577,47.0463,5.4429,1.8241,112.4168,1.5805,20.6066,1.5482,49.273,21.95,161.6915,6.1579,0.1073,1.2777,19.3975,0.8278,0.6924,7.1877,0.8845,130.4044,37.4595,36.419,8.9491,0.7766,0.8511,7.6362,0.2981,20.7575,0.7594,0.9207,3.0837,11.0687,15.9503,18.6702,8.756,198.7542,95.9766,37.0423,3.7339,21.2358,0
CHL_F,33.7348,14.9422,1.9821,52.3909,0.4457,52.4817,5.9308,5.7368,16.1612,5.6026,11.7147,5.5409,7.4533,21.2422,5.7043,8.9862,0.567,7.8161,6.7718,2.4392,2.1665,5.1895,82.3392,88.6867,37.6833,356.831,82.5472,3.7417,23.2038,148.9189,0.349,64.3129,5.7013,26.5204,9.1782,97.8115,3290.6975,62.7029,43.1864,580.9475,188.6931,81.6515,13.9123,94.0397,0
CHL_G,1150.9671,211.5344,12.1591,1678.4966,2.1735,2118.9095,281.4071,179.1718,560.9571,58.636,323.7774,104.3492,174.4654,126.375,72.6323,97.2405,2.0946,33.0019,71.9665,48.0229,39.375,83.7002,380.4351,32.8144,1051.8724,2972.0727,1129.5966,155.0375,172.5155,146.3023,13.1892,455.0917,85.4116,713.5571,112.5807,203.7242,121.2673,327.9547,764.6675,288.2153,110.287,414.0837,82.9723,138.2289,0
CHL_H49,359.6294,59.7601,8.462,774.1905,4.187,909.7871,57.0224,151.0424,198.2109,59.1678,155.6232,23.7718,81.3535,104.2939,50.2864,69.4186,1.0396,19.2024,35.6134,11.9626,8.1537,45.2784,189.5763,9.4238,543.8518,1170.6322,488.757,157.4629,47.9019,28.3202,28.146,100.3185,15.8261,9.6245,16.1803,29.8692,16.8267,53.743,151.9125,84.8365,52.6535,93.175,6.0757,44.8327,0
CHL_H50,20.6109,0.0575,0.5928,28.9282,0.082,25.6492,6.9686,2.4717,8.3519,58.0238,7.5716,2.6408,8.7252,3.5247,7.9973,6.1891,0.135,2.3691,5.2216,1.1508,0.7453,4.5404,37.5225,0.705,59.3616,21.6891,25.7395,0.3684,8.7512,0.6167,0.0191,6.4221,1.4268,0.4862,3.1561,2.2057,2.0317,4.3375,7.053,16.3303,3.1562,8.8332,0.4918,2.5484,0
CHL_H51,16.8917,8.5895,4.7524,133.5179,0.2417,66.4966,5.967,4.2558,11.2747,20.9729,24.8338,4.0582,10.1417,7.3678,5.3229,8.6906,0.2259,2.5811,6.2762,1.4589,1.1136,5.1799,24.0484,3.9605,118.5222,63.8849,64.5802,12.8282,129.5287,12.84,24.0607,18.3757,5.7488,15.2601,17.9848,33.0923,5.892,50.5345,42.8324,67.9487,7.3254,12.0101,5.2464,3.8726,0
CHL_H52,49.0344,27.034,0.7055,162.7983,0.5065,167.6602,15.9286,37.1757,32.374,7.3964,35.2255,11.5996,16.3318,11.217,13.4869,14.0455,0.2688,4.5657,7.3286,2.6612,1.7861,8.1792,21.1863,1.4479,72.4368,374.1419,305.9237,700.1849,145.999,102.3772,1.2055,17.7184,2.1782,3.9428,4.3963,6.8077,3.5613,8.7214,12.5073,11.4299,5.233,13.1836,0.8735,6.8875,0
CHL_H53,3.9493,1.8027,0.0268,1.1264,0.0049,8.4081,1.7613,0.8842,1.7017,0.2689,2.3679,0.817,0.3333,1.612,0.365,1.778,0.0733,0.7887,1.3997,0.5019,0.3056,1.6098,8.9679,1.0669,5.5961,46.4292,5.0183,0.6931,0.017,5.9001,16.2709,3.8579,1.3365,15.1872,5.9685,91.2356,5.3298,20.3155,33.7464,19.4887,5.6264,3.8401,0.8445,2.7496,0
CHL_I,25.7338,1.991,1.314,63.2521,0.0519,26.3307,4.1605,1.9425,5.0071,0.9774,8.8409,2.923,3.4796,3.8953,1.1882,2.7611,0.1216,1.2238,2.7263,0.5774,0.4456,2.0886,4.8907,2.0158,55.5743,91.3566,144.8249,15.3785,98.3615,8.0282,0.7182,14.9586,5.539,4.4885,11.8994,35.1211,5.8587,41.8571,19.0313,52.8977,135.8372,43.2338,14.0337,44.4581,0
CHL_J58T60,4.4223,2.1332,0.2706,13.6714,0.0093,30.8211,2.2695,2.1753,9.5494,0.6262,5.6084,1.7432,5.8123,2.5173,0.7889,2.3467,0.0616,0.7605,1.7267,0.616,0.4871,1.5728,3.8711,1.6787,20.1208,200.7035,35.6633,12.6046,4.9585,11.3243,2.9443,16.5038,47.2391,78.7127,18.9462,81.4661,36.0879,174.1048,61.7375,27.7556,69.0055,32.9068,8.2564,29.9929,0
CHL_J61,20.2013,15.4039,1.8514,82.7355,0.1516,52.5491,9.0877,5.4341,10.5513,2.0018,14.1764,4.9942,8.0945,8.6821,3.0823,9.5506,0.3043,3.3248,7.6582,2.2045,1.6739,17.7071,17.3822,3.1349,67.1792,272.7198,81.1517,29.3945,15.366,46.8868,7.0695,37.1405,182.6923,2245.8544,69.2421,130.5142,39.2491,101.4517,158.8723,181.6151,45.6185,62.8499,11.4568,31.0044,0
CHL_J62_63,4.1253,0.9645,4.1923,185.8296,0.078,200.2525,26.7021,24.2314,40.8247,13.4548,92.3093,25.8575,7.2115,24.4899,16.8402,41.2987,0.7639,5.9142,30.9003,5.0555,3.7714,22.3426,19.7746,7.8656,27.3825,215.2373,128.8868,15.473,23.627,33.0649,1.5524,11.9372,19.5806,66.0716,163.0122,193.4901,19.5041,172.8624,185.879,81.8569,11.9815,33.7432,12.9004,5.2351,0
CHL_K,451.2176,77.3871,23.4186,341.2433,1.6845,191.4204,46.0035,35.3563,69.891,52.6026,53.7047,11.1279,35.6278,31.5209,37.385,33.1983,0.8269,10.3071,21.3156,8.6941,6.3057,57.4249,234.4984,34.4024,952.0155,1130.7995,409.3452,79.3747,25.5537,101.687,6.0148,160.9846,23.6425,52.5234,77.6737,2095.106,523.5011,432.0235,602.5556,72.534,182.2317,256.1384,56.7223,41.2039,0
CHL_L,43.4321,41.0432,0.6426,37.1307,0.0723,170.8505,42.83,8.2721,25.484,1.2989,31.676,9.2805,21.9068,25.7755,4.5762,22.9251,0.8301,10.0995,13.67,3.9417,2.4292,57.0994,20.8311,10.5914,477.1084,1768.0849,112.53,5.3082,205.1811,140.822,12.2466,471.0975,17.4571,84.7988,72.4895,216.2558,214.1674,353.1307,321.263,113.3807,263.8856,139.2667,52.3031,115.18,0
CHL_M,40.8532,20.7315,86.1078,2318.8453,10.0847,1591.8344,130.3301,137.6123,215.6856,62.8304,469.6364,289.1649,66.213,111.6572,65.9912,127.9203,2.2202,23.3933,101.1792,26.3024,19.4715,70.6995,134.6262,42.4158,1392.9454,3013.4933,207.1357,26.8634,154.1067,138.992,15.0504,197.2511,103.2542,349.54,260.0115,922.793,495.1278,1955.8442,689.7711,132.465,210.2566,132.0423,137.3722,92.9439,0
CHL_N,140.5943,124.0489,9.9284,1083.6981,1.667,483.0211,22.0704,133.2162,256.451,73.187,126.6198,5.6756,22.567,76.6114,7.4037,35.2047,1.0126,11.2916,21.3387,44.5848,31.0745,53.0558,49.8473,77.4358,621.6036,1555.8075,735.4806,35.7343,179.5066,237.8483,30.4347,144.1361,117.6622,318.0132,61.2462,1151.1245,244.4881,541.2984,565.2266,570.3577,264.6704,303.6151,70.291,37.4988,0
CHL_O,10.2109,5.0368,0.2139,30.2546,0.1178,32.5081,2.5439,4.6136,35.7334,1.1486,6.68,1.6199,14.3492,6.177,43.9434,2.6516,0.0543,0.7882,7.663,0.4339,0.3097,1.9523,2.954,30.6393,20.77,79.416,36.2809,76.0446,17.9607,21.0301,0.3086,7.4711,1.3684,3.3315,10.94,3.5922,3.7418,39.8823,19.3057,38.7711,3.636,3.765,1.3717,3.2108,0
CHL_P,1.0726,0.3839,0.2461,8.7565,0.0349,6.4568,0.7478,1.4251,1.4686,0.7173,2.0255,0.4707,0.4,1.1086,0.3177,0.9532,0.0198,0.1997,0.6607,0.2005,0.1646,0.553,1.0049,0.1986,5.2019,9.7805,2.0731,0.3341,0.6216,0.7379,0.0974,1.4922,0.8651,0.7449,19.5723,3.8586,2.4681,65.1305,28.2082,1.0704,1.7021,2.2387,1.4978,0.8007,0
CHL_Q,20.1141,3.8184,0.0752,3.2188,0.0045,6.5209,1.0347,1.0476,1.2835,0.5317,2.2037,0.5362,0.4402,1.0441,0.3192,1.0769,0.0203,0.2039,0.766,0.183,0.1401,0.992,0.5896,0.2136,4.9104,22.4029,5.9267,1.7016,2.5508,2.3512,0.3401,6.6845,1.2544,9.3586,4.9835,14.7981,3.1944,23.5672,24.7842,12.3713,4.5489,683.0421,1.0874,21.9135,0
CHL_R,0.0032,0.0001,0.0014,0.0038,0.0,0.0157,0.0,0.0,2.0138,2.8207,0.0671,0.0035,0.0019,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.9466,2.7037,0.0,0.0,0.0,0.3527,0.0,0.8309,49.4962,0.0057,0.9482,4.3146,0.157,3.0802,0.0994,33.8689,0.7591,0.3238,160.7894,0.293,0
CHL_S,12.3182,2.4529,0.5798,113.2847,0.2004,27.1805,2.5791,5.391,8.3475,0.3953,9.0978,2.1133,3.6636,3.0927,3.6506,2.6055,0.2139,2.8169,2.2493,0.519,0.9684,1.8464,14.8441,1.0196,25.3499,63.0516,17.3189,7.0689,5.5118,3.0499,0.3826,49.3472,2.7682,17.679,7.626,18.6432,2.7661,16.932,32.8683,6.2076,3.3745,52.2726,18.6149,27.1442,0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
