V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_A01_02,8741.823,0.0889,13.8387,18.0313,2.4501,3992.7696,179.7597,20.6503,7.1896,1.008,10.7434,34.5827,6.446,11.5131,5.8714,0.2551,0.2268,0.3363,0.3029,0.3632,0.7391,3.8971,4.9967,1.3313,151.0054,152.5761,26.9522,0.746,3.1481,10.7311,5.0601,419.2454,1.0392,5.531,0.5439,24.4877,5541.7145,12.362,126.1291,1950.4668,275.7336,46.5918,8.2083,3.944,0.0
KAZ_A03,1.539,18.4734,0.007,0.0021,0.0003,20.5585,0.0054,0.0088,0.003,0.0083,0.0007,0.0004,0.0004,0.0004,0.003,0.0001,0.0,0.0001,0.0005,0.0001,0.0002,0.0004,0.0007,0.0912,0.0071,0.0112,0.0055,0.0259,0.0004,0.0038,0.0021,6.5893,0.0001,0.0005,0.0001,0.0005,0.0592,0.1265,1.7458,0.3796,14.1172,1.0561,7.5489,0.0001,0.0
KAZ_B05_06,2725.1154,0.023,21394.5091,1070.1656,259.611,21.9391,0.2746,0.3125,5.0906,5686.9548,155.1773,3.8543,72.1848,78.0396,1480.8169,4.0523,0.5771,0.4015,14.1127,0.3437,0.5547,105.2565,2393.6706,17.9088,336.0083,194.3059,2427.8329,0.2989,0.432,162.5829,7.4882,3.3655,0.4364,19.8362,0.3424,12.4661,44.3242,80.9498,5.9625,31.7483,135.2881,81.2356,7.3648,13.5398,0.0
KAZ_B07_08,8.9779,0.2929,723.9332,1322.6795,1.9747,7.274,0.2278,0.7481,0.1744,147.4522,256.5781,5.6192,0.7836,306.7491,6386.5471,4.8808,0.117,0.4642,0.4296,0.0757,0.2883,2.6337,9.9809,5.4763,467.1932,20.9443,34.8657,0.1273,9.7908,9.6704,0.3899,1.1642,0.168,4.5162,0.1186,3.2593,25.7202,25.9178,9.5566,6.2309,18.876,11.1074,2.6847,2.7475,0.0
KAZ_B09,0.0,0.0,3367.6178,2.0667,78.1241,0.0,0.0,0.0,0.0,0.0017,0.1127,0.0,0.0,2.3867,0.0001,0.0,0.0,0.0,1.1083,0.0,0.0,0.0075,0.8116,0.878,18.1247,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3298,0.6655,0.0,0.0,0.0,0.0,0.0,0.0
KAZ_C10T12,189.8648,0.9636,35.878,10.9245,2.5454,963.5921,12.2011,0.3203,2.7244,7.6401,66.7861,3.2391,1.3858,3.2818,25.6618,1.086,0.1953,0.5723,0.8092,0.257,0.7015,3.0253,5.7704,0.9952,29.8903,4026.9253,19.415,1.7067,14.5754,21.3298,1.1163,875.5278,1.6661,4.0213,0.8457,288.2249,236.4272,16.1469,159.9039,14.4865,1004.3535,146.3943,16.8946,6.2264,0.0
KAZ_C13T15,8.6925,1.5084,5.0346,6.0532,0.87,16.5514,66.681,0.066,1.4518,0.3815,0.957,0.0176,0.1031,2.7343,38.4725,0.1967,0.0981,0.0587,0.1418,0.0676,0.3209,18.9027,1.6104,1.2525,15.0008,15.5159,39.4805,4.8048,0.3524,2.0956,10.6128,28.0862,0.1129,2.8163,0.0692,3.666,0.588,4.9647,65.8394,5.0663,13.1466,18.5466,41.9542,4.0264,0.0
KAZ_C16,3.3771,0.0939,8.687,0.9802,0.0453,0.4313,0.0233,5.9357,10.1669,0.082,0.0295,0.0075,0.0383,1.3623,1.2653,0.2518,0.0056,0.0504,0.0759,0.0377,0.1838,19.2748,1.2406,0.0893,55.1141,10.6268,14.7352,0.0061,0.0153,1.587,0.1387,1.7254,0.0464,0.5302,0.0219,0.8409,0.3891,0.7831,0.3046,0.5336,0.8461,0.4148,0.2338,1.9528,0.0
KAZ_C17_18,10.67,0.0223,16.0578,3.99,0.89,41.1226,0.1557,0.0496,44.1228,2.8283,1.6073,0.5019,0.518,2.9565,10.446,0.5229,0.1706,0.2865,0.3184,0.1569,0.2607,2.0648,2.1743,0.9248,9.5365,352.2792,10.4878,0.1378,0.6591,1.4787,6.1318,10.8534,27.0039,2.7547,9.9889,5.7063,2.9558,84.3025,6.527,5.4481,26.1212,21.1239,1.9884,1.3236,0.0
KAZ_C19,787.379,3.4843,974.2905,327.52,111.6501,41.6907,1.3077,2.8245,13.3709,642.4366,135.5983,7.8185,11.7397,199.1781,1057.0626,1.4436,0.4185,1.2723,3.6538,3.1444,5.5084,15.519,54.2705,34.9232,420.8524,518.9948,1237.8494,38.8142,544.2057,27.2141,21.5378,37.6089,13.6331,21.1381,11.2735,79.4757,4.6282,121.3302,66.784,437.8417,78.3301,209.4157,13.4534,39.1447,0.0
KAZ_C20,90.157,0.0658,110.8989,86.2641,31.4641,24.9801,6.1055,3.0081,31.9033,9.3729,174.0482,31.2121,212.2907,33.5789,66.1461,8.3528,5.1735,10.3497,5.349,6.6079,11.1368,29.4593,10.7283,25.3273,36.5347,92.1142,18.1498,0.4536,0.6923,7.8579,0.7045,20.9689,13.7495,2.6316,5.5336,14.6387,55.2919,141.1855,27.5721,17.061,198.2312,85.9598,4.1084,20.189,0.0
KAZ_C21,1.9598,0.0007,0.7216,0.1562,0.0455,0.2483,0.0073,0.0018,0.0111,0.1404,0.0292,0.3391,0.0205,0.0496,0.4481,0.0201,0.0041,0.0094,0.0143,0.0052,0.013,0.0585,0.1385,0.0305,1.4167,0.6338,0.3731,0.0074,0.0279,0.1471,0.0794,0.1912,0.0079,0.118,0.0057,0.2446,0.1944,3.5519,0.0518,0.7317,4.8068,250.4139,0.1919,0.3766,0.0
KAZ_C22,17.501,0.706,18.901,30.7792,7.1261,67.3648,0.5142,0.6491,7.1905,0.8143,4.3799,0.1108,34.0398,4.368,11.6692,3.4969,0.3025,0.3334,8.5434,6.1209,1.9037,6.4038,9.2397,5.3786,290.3548,414.8333,111.582,0.9399,0.8326,9.2673,0.7134,8.509,0.7523,5.7712,0.4576,8.7549,5.9563,39.8323,36.7765,1.1841,14.7896,38.6431,6.5794,4.5226,0.0
KAZ_C23,27.8289,0.091,26.1174,15.1455,25.7472,73.0867,0.1419,1.0346,0.0744,0.7979,2.4181,2.9715,4.1463,205.1346,11.3224,1.1852,4.6716,8.3318,0.5119,0.0365,1.8579,14.5536,13.9528,3.3072,1629.5685,301.1935,95.9925,4.5101,0.2199,116.5533,0.4934,3.6119,0.3349,5.4496,0.2098,6.8101,235.2525,12.8637,13.1544,5.7545,44.8611,74.3323,3.3085,8.0754,0.0
KAZ_C24,10.489,0.1028,2856.4195,981.5082,272.0456,30.1751,1.2613,0.0354,0.5959,32.2981,14.3423,0.5185,13.8277,254.2748,7488.3877,710.755,60.339,289.1735,376.9298,60.9662,253.4432,590.7951,817.1544,301.4551,4071.3517,72.9405,1248.7457,0.1535,22.3112,656.0339,0.0003,0.0552,7.1619,112.6276,3.5867,734.8672,122.4915,27.3011,79.5153,2.7895,1.0005,45.6343,2.0023,16.3318,0.0
KAZ_C25,5.2873,0.0123,159.4435,34.1532,8.8371,12.8904,0.0791,0.7678,0.6229,0.8342,0.5181,0.1058,0.8777,15.1216,12.9469,6.8706,0.0725,3.2948,14.4804,9.4431,7.0833,33.2667,10.4174,2.5992,631.6222,146.8061,39.5759,0.2532,0.1214,50.7174,0.2819,3.0931,0.1703,11.0743,0.1198,1.2095,2.2257,11.0827,2.6577,3.3557,8.571,4.5353,2.6202,3.7575,0.0
KAZ_C26,0.0552,0.0004,0.7362,0.3237,0.051,0.0582,0.0015,0.0036,0.3289,0.0761,0.0236,0.0039,0.0041,0.0576,0.7771,0.0285,2.4403,0.0131,0.74,0.0133,1.3486,1.7835,5.2432,0.0483,1.6689,58.3127,1.5824,0.1882,0.0106,0.1187,0.096,0.0556,3.2036,46.3099,4.1882,0.6755,0.1834,5.9112,4.9242,0.8313,5.3078,1.8762,1.7609,4.7509,0.0
KAZ_C27,21.6458,0.0028,6.4891,5.3493,1.7563,1.2915,0.0155,0.0657,0.0854,0.1428,0.4254,0.0037,0.1061,0.6991,5.3745,0.2579,1.7113,8.6009,1.2377,0.1393,1.1614,6.8688,20.6806,1.0258,47.2001,172.3759,19.1578,0.301,0.0157,7.9599,0.0014,1.4783,0.7538,65.1997,0.6685,0.8218,0.7693,19.4788,3.0196,0.5744,31.8058,2.8531,0.7565,7.0057,0.0
KAZ_C28,29.1054,0.0036,49.3431,74.46,26.1197,23.3459,0.293,0.0951,0.9887,0.8547,1.3777,1.0848,0.2628,2.7036,11.1315,1.7797,0.032,0.0348,4.7293,0.2129,8.2638,29.3355,21.3989,7.6031,79.1697,46.7934,44.7866,5.0596,0.2277,21.9357,0.054,4.4143,0.5432,4.5621,0.4383,7.5475,2.3038,13.95,26.7773,1.123,4.3896,23.1952,0.3256,4.1752,0.0
KAZ_C29,11.5069,0.1689,8.6022,8.2102,1.3139,3.2217,0.0205,0.1141,0.2999,0.0457,0.1354,0.0156,0.1719,1.1911,0.827,0.5992,0.0859,0.0297,0.1182,11.0541,1.0226,4.2012,8.2393,4.4691,10.4432,57.9223,48.2111,0.2854,0.1359,8.3038,2.3647,9.5958,0.6044,1.5428,0.5004,5.1981,0.8885,11.75,7.2064,7.6022,5.8326,10.838,1.0046,8.6931,0.0
KAZ_C30,0.2249,0.0,1.6536,0.7168,0.2397,0.0126,0.0,0.0,0.0004,0.0,0.0,0.0027,0.0,0.0198,0.3278,0.0591,0.0,0.0001,0.0001,1.3186,13.7686,35.1083,0.1224,0.0005,0.0089,0.0,150.4632,17.677,76.881,11.5787,0.0,0.0305,0.0007,0.0211,0.0004,0.0,0.0008,4.982,7.2856,0.4484,0.0525,0.0721,0.022,0.0506,0.0
KAZ_C31T33,37.2256,0.4801,158.5205,135.1769,72.8406,36.6908,1.3628,0.0267,7.9698,8.3524,0.5508,0.0642,0.4741,8.7757,94.3516,5.1448,7.2213,13.0763,7.7943,1.3334,9.1992,75.1691,120.522,13.4845,76.9769,503.5532,607.0281,12.1151,89.5023,195.2051,3.1516,28.3487,32.0526,184.2387,15.5779,24.175,6.8082,17.5053,434.7072,61.0637,212.0813,177.5552,21.7072,6.8923,0.0
KAZ_D,315.7034,6.0099,394.7313,223.5355,17.4187,343.1488,13.0404,9.9785,42.9282,79.1956,26.0141,20.2277,13.1387,136.1159,247.165,14.5264,5.6122,5.2714,9.8636,4.3157,23.1925,99.1229,940.0146,160.2239,162.0369,623.681,655.9951,15.6835,1.9774,429.0684,34.0756,444.7445,82.8379,136.0528,57.2467,74.4577,327.8056,680.8281,224.4341,119.5445,718.2118,821.9312,99.4711,562.347,0.0
KAZ_E,33.6728,0.0171,640.51,329.2565,2.4992,15.6473,11.521,0.5832,3.7226,0.9018,4.7966,0.3496,8.4655,16.9224,14.7745,0.3654,0.2753,0.0302,16.2607,0.01,0.3333,9.2496,158.8309,127.2356,12.3781,4.9819,37.1226,0.2994,2.6756,4.7906,0.0541,54.8041,0.3777,1.6163,0.2199,3.3325,23.6205,10.017,15.2337,52.3634,52.8727,58.1675,5.5846,51.2212,0.0
KAZ_F,414.8864,0.1359,732.7096,100.6569,57.6936,74.783,1.0774,0.444,1.6065,20.2991,6.3422,4.0147,3.1756,50.2711,124.349,5.0652,10.6712,1.287,4.0056,1.2102,4.1708,16.4405,507.3825,163.9588,11138.8306,1972.9002,1139.8318,8.343,3.6087,868.8881,1.5694,41.1766,7.385,533.8775,6.0035,401.8651,647.1796,1844.3171,72.6395,68.7768,2449.4892,1187.6844,83.2305,37.369,0.0
KAZ_G,2959.5225,8.9357,5561.9639,1228.0554,291.2091,1571.1073,86.6782,18.3062,114.022,1217.2434,323.3779,47.9574,242.8855,420.4768,3894.9314,179.6226,31.8505,92.1024,130.7866,68.9363,128.8655,430.514,849.7902,154.2048,3401.2271,5136.0661,2075.9474,49.6047,274.3336,583.1287,31.862,622.3991,76.0502,517.5503,50.4769,412.9722,1439.5523,587.5102,477.9398,689.2567,1238.9827,1299.8613,79.8974,142.3365,0.0
KAZ_H49,879.3789,3.0441,3525.2705,937.6134,217.7864,604.0512,27.6454,9.4885,49.0427,529.7269,177.7905,12.4857,74.7193,267.1155,2173.7213,102.4637,17.4153,41.3411,63.8504,37.7429,45.4782,195.2788,409.2426,108.2742,1463.7989,3818.0825,1257.0174,21.3806,82.3706,176.2564,42.7069,154.0694,71.2448,114.2346,45.5294,131.2732,457.1878,168.729,316.1306,241.255,484.185,460.9873,31.0647,53.6171,0.0
KAZ_H50,13.5681,0.0267,98.4018,6.3852,3.9037,6.0118,0.4242,0.1115,0.6237,15.3215,1.4581,0.2321,1.0691,1.9743,15.5333,0.7343,0.1836,0.3785,0.5516,0.3498,0.9179,2.6054,4.747,0.8956,18.218,164.5729,24.0156,13.8016,1.8202,5.1529,0.1226,3.1563,0.3232,2.1203,0.2348,10.265,9.4608,9.9263,5.6243,3.6417,4.4015,7.637,1.9276,0.7727,0.0
KAZ_H51,17.4225,0.0259,508.5236,13.3218,2.037,5.1786,0.3721,0.12,0.6758,4.7966,1.9277,0.4534,1.9397,1.8321,30.994,1.2113,0.1921,0.6031,0.5632,0.6402,0.7291,2.9439,3.6729,0.6993,96.0118,152.7648,14.3942,0.7952,97.0907,9.051,10.3012,3.7561,1.6789,3.0793,1.5,187.2833,5.6942,113.6503,174.0145,174.589,35.7778,15.685,46.0475,0.7526,0.0
KAZ_H52,314.4003,2.126,664.5412,138.6549,43.1269,167.3765,3.762,0.7427,6.4308,29.391,11.8124,0.8187,5.9199,68.9783,105.8707,5.0004,1.4555,2.2415,2.7162,1.4599,2.2403,30.7422,63.3434,14.2002,174.8096,3596.3585,1162.1473,15.7148,97.2973,189.0971,9.3315,113.9247,15.4056,139.4048,8.8295,104.1812,27.578,158.837,105.5606,99.8174,121.7294,134.1446,6.3373,3.4899,0.0
KAZ_H53,1.6679,0.0105,28.5562,2.4144,1.1042,1.6931,0.1072,0.0187,0.3528,0.2233,0.1679,0.0374,0.0949,0.7891,3.2607,0.2051,0.0635,0.0619,0.157,0.5046,0.1468,1.5269,2.0401,1.7373,5.2675,47.5998,6.4206,0.3437,0.3436,2.7909,0.5755,1.2328,3.0049,17.3823,2.1463,20.8652,5.9438,166.4534,12.5661,11.039,8.5717,3.7526,0.6403,15.5601,0.0
KAZ_I,4.4963,0.0132,60.1762,6.1367,19.0101,7.4407,0.1862,0.0231,0.5976,1.2807,0.6343,0.1117,0.5963,0.9285,8.9817,0.3252,0.1694,0.126,0.1169,0.2593,0.1924,5.5765,1.2651,1.6043,67.4294,26.9302,19.0214,0.8824,1.5371,1.3232,1.6169,28.4736,0.5305,63.8162,0.3764,14.9407,31.1078,40.8138,192.5586,369.2789,118.5786,28.2604,8.1035,403.4326,0.0
KAZ_J58T60,0.0591,0.0,29.4172,6.9598,0.0246,16.2711,0.003,0.0,9.9105,0.8542,1.1721,0.4909,0.0019,1.149,0.134,1.0058,0.0,0.0041,0.0024,0.2079,0.7692,0.582,1.2755,0.0187,56.0393,536.3968,20.2302,0.4221,4.6936,2.4613,1.6573,6.7946,92.2396,88.214,30.4193,37.2798,30.7178,62.336,48.3142,75.971,93.9011,3.7977,9.2527,22.1124,0.0
KAZ_J61,55.5235,0.2042,301.7472,58.0905,29.4956,38.1258,1.943,1.0274,8.5373,0.7553,3.9404,0.3923,2.1777,28.9991,48.784,1.6853,1.7734,0.4659,0.657,1.1897,7.891,47.0676,96.2484,12.1,118.7138,897.5264,172.9452,4.6633,20.1615,87.9738,10.8533,89.8499,145.5604,433.1805,127.1473,112.4988,84.9721,1474.8441,279.0262,197.9324,157.8161,177.9442,26.8924,91.197,0.0
KAZ_J62_63,0.3577,0.0249,177.6109,0.8082,1.2244,0.6723,0.0227,0.0003,0.0156,0.4851,0.0584,0.0082,0.0181,1.1686,0.5258,0.0132,0.2851,0.0209,0.0508,0.3936,0.0585,0.3225,31.1991,2.4429,26.6207,41.2312,10.6363,0.8885,1.0235,3.116,0.0069,0.6585,101.3942,193.2488,26.1601,93.4312,6.5334,97.0788,51.1168,187.2286,9.484,6.1633,6.1273,2.4724,0.0
KAZ_K,164.7934,0.7469,1845.1726,186.5951,61.8328,74.3306,6.8212,0.9707,17.4104,2.3889,8.4742,0.392,4.5721,49.0067,139.1925,3.0558,3.6014,1.011,10.2987,2.1182,12.6336,120.3714,128.2118,35.7258,267.0323,2302.022,512.403,14.4077,28.6671,311.0612,5.8124,89.2251,83.543,733.8145,81.6807,886.8486,270.3149,1418.6564,594.184,635.8879,160.3541,347.7111,35.1452,18.5128,0.0
KAZ_L,57.2541,0.0778,172.1768,34.4372,14.7484,15.8441,1.2478,0.5262,3.0846,1.1398,1.383,0.8519,0.1667,19.2881,13.0385,0.2126,0.5969,0.5895,1.2916,0.8497,0.3807,30.7329,26.8094,5.4473,61.7329,1443.7892,124.6072,3.3039,14.1321,96.3547,4.5832,47.3388,35.9302,156.1077,34.3169,317.8966,23884.2106,595.9025,302.0806,73.4766,70.8209,63.2645,19.5285,85.5818,0.0
KAZ_M,169.3283,1.365,2064.9452,313.2765,127.8504,199.0747,1.768,1.2338,12.3308,60.0974,10.3859,2.4611,6.5602,34.9479,207.5803,3.123,2.6029,1.1644,1.9668,6.6634,1.3572,57.4469,83.1351,13.1992,442.3863,1655.3186,269.1326,5.5516,13.3443,184.8354,4.7261,122.1213,189.1907,417.607,103.2769,983.1873,576.8466,2726.0104,1123.1118,1151.5675,209.695,123.5101,52.3171,105.9377,0.0
KAZ_N,140.7103,1.0504,446.4497,173.5448,225.6167,72.7775,3.051,1.5952,14.4412,10.4918,7.7744,1.564,3.8428,33.9624,89.225,1.9692,5.8234,0.3371,2.4022,1.0825,1.886,34.8168,62.6386,27.3824,717.9179,962.4994,1435.8018,37.8081,8.1798,591.3799,5.9723,289.2068,41.3516,152.055,22.289,318.1467,1497.3702,569.9064,586.0577,127.7249,311.2519,221.1494,146.642,45.6443,0.0
KAZ_O,104.3422,8.586,150.4474,45.6821,8.8709,59.7292,4.1133,5.3366,3.5025,9.7981,3.7175,0.9685,1.5777,8.7725,44.3359,1.7992,0.5403,0.6912,1.2039,0.7123,1.2825,7.4755,41.9027,8.5915,35.1893,98.8287,63.3805,2.2834,2.809,28.0196,2.6094,27.0487,5.6309,25.4597,4.4873,121.778,89.9169,158.871,146.1271,169.7504,57.9021,282.4282,63.0307,32.6049,0.0
KAZ_P,4.0148,0.0114,124.4047,9.9812,8.4567,5.1974,0.1138,0.0436,0.4124,0.2447,0.2701,0.0307,0.1582,1.0018,3.5561,0.0748,0.1111,0.0666,0.318,0.2196,0.1547,5.2428,5.9224,0.5278,13.2514,16.5625,27.6348,2.879,8.2312,10.0716,0.1239,3.4318,7.2101,22.1883,9.8,61.3028,13.2281,458.3855,385.8216,276.6905,13.5283,30.6006,3.5523,14.3151,0.0
KAZ_Q,46.6996,0.2032,133.2035,92.5702,6.1184,32.5142,4.1082,0.1776,1.9132,10.0842,4.6307,0.8488,3.2469,4.8051,38.195,1.2873,0.3647,1.0219,1.0592,0.402,1.2387,11.6857,13.827,2.239,46.6127,78.2417,104.3368,1.3645,5.7336,12.0246,0.8304,16.1061,1.2161,7.028,0.7969,527.168,31.0844,74.3555,262.4545,238.1995,29.5214,1361.1197,225.181,64.8445,0.0
KAZ_R,0.8574,0.0,11.3704,1.0457,2.7726,0.0,0.0273,0.0,0.0048,0.0358,0.0369,0.0,0.0082,0.0089,3.0849,0.0,0.0192,0.0009,0.0,0.0,0.0,0.6784,1.0849,0.1455,2.0822,0.1709,0.5734,1.7341,0.0132,0.6803,0.1547,7.2503,0.9081,51.2751,0.3827,10.6301,38.8635,70.1788,49.03,8.4446,304.5369,1.2317,145.7357,27.0791,0.0
KAZ_S,0.0417,0.5531,1.8093,15.1743,0.1026,0.1302,0.0034,0.0202,0.0249,0.1495,0.125,0.1212,0.0481,0.0522,0.7077,0.009,0.1262,0.0007,0.0518,0.0,0.0348,5.197,0.5149,0.661,10.4653,8.9059,20.2992,0.0375,7.2214,15.7534,0.0255,13.94,4.1571,4.9912,5.056,25.5433,2.7175,3.154,38.6921,1.9716,118.9842,12.3472,75.508,12.6751,0.0
KAZ_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
