V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_A01_02,805.7389,2.5872,72.2946,0.0,6.6182,5737.5782,173.7255,2.2056,15.6299,234.6417,28.5563,2.1319,48.5071,0.0,0.0,0.0,0.0,0.0,0.0,0.0852,0.0,2.1777,0.0392,0.104,779.3921,265.9945,0.0,0.2143,0.0,0.0672,0.1502,593.4713,2.3675,1.5109,0.0025,0.0473,31.375,0.074,84.5107,51.5087,168.0488,6.0429,98.7001,3.9736,0.0
SAU_A03,32.0087,0.0025,0.0,0.0,0.0,154.0608,0.0,0.0,0.0,0.0,2.9035,0.4504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162,0.0,0.0,5.2683,0.0034,0.0,0.0,0.0,0.0,0.0,18.1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2076,0.3146,0.2357,0.0,0.005,0.0
SAU_B05_06,0.0,0.0,323.0624,27.5129,13.0524,928.2753,213.6126,37.6809,143.4325,4988.7793,2887.3119,97.7056,166.4696,250.7171,284.046,202.8668,14.1473,117.0405,116.8941,60.5597,19.7193,88.3073,1138.9915,3.8602,817.9437,0.0,32.9336,1.5669,133.6538,71.8829,7.4475,66.9441,44.553,213.8446,14.7396,0.0363,1.7237,3.2513,38.158,0.2721,50.2078,78.8142,12.3601,2.9524,0.0
SAU_B07_08,0.0839,1.241,0.2505,3.0483,0.0039,4.8489,0.1411,0.0055,3.9954,0.0,198.1247,2.1999,0.3115,370.7691,294.7356,3.6413,0.0,1.8832,0.0,0.0723,0.0,1.0842,24.4474,34.7378,1258.1156,1.9782,0.0072,0.0,0.0,0.6556,0.1273,0.2605,0.0245,1.6025,0.0968,0.002,0.0126,0.2496,0.1025,0.1845,0.059,0.0212,0.3082,0.0299,0.0
SAU_B09,0.5159,0.173,3.1178,0.297,0.1795,13.3983,3.277,0.6089,2.2353,71.3423,74.9059,0.6283,2.7028,4.0267,4.3108,3.3401,0.2388,2.4291,1.8178,0.9483,0.1919,0.8899,4.7171,0.555,0.9395,0.0,0.6697,0.0045,3.066,1.6672,0.2322,0.7224,0.0803,0.0,0.2269,0.0,0.0,0.0091,1.0545,0.0,0.0,0.8504,0.0764,0.0889,0.0
SAU_C10T12,206.3117,19.3457,59.5262,0.0,5.4212,365.9203,31.0484,0.0037,0.8916,0.0,6.1142,0.4406,0.0,0.0034,0.0,0.0007,0.0008,0.0,0.0,0.0,0.0,0.0104,11.542,15.2642,38.1241,180.7,0.0399,6.0176,36.4548,0.0002,0.015,169.3558,45.9245,40.7343,2.8425,1.137,18.2821,17.5731,64.5556,409.8476,455.5236,172.6283,51.9319,26.0934,0.0
SAU_C13T15,3.2824,4.7684,9.7672,0.015,0.6384,9.5921,389.9368,0.552,8.7978,0.2451,14.276,0.9006,15.0292,3.5279,5.2573,0.719,0.4383,1.9234,3.454,6.065,0.5588,13.6504,1.8521,2.093,78.8724,45.7344,0.0768,0.055,7.4648,0.8479,1.3828,13.0129,1.2702,19.8481,0.2902,0.1334,3.9794,5.2812,3.9715,54.9998,13.2802,21.425,4.002,9.2512,0.0
SAU_C16,14.1268,5.192,5.933,2.8701,0.6562,43.9146,21.1293,133.7295,52.1508,0.3268,9.0039,0.2729,4.8846,15.9,4.7655,8.4804,0.4691,6.0482,2.421,0.9803,1.1083,100.492,0.2992,2.4325,512.8932,48.8425,0.1207,0.0124,0.4124,21.801,0.1178,19.7888,2.4848,3.1142,0.0583,0.1232,0.757,8.5692,5.273,4.7878,1.2324,19.9867,4.6223,16.2261,0.0
SAU_C17_18,3.1267,0.4935,37.4321,0.4691,2.3834,65.4139,9.8677,2.8314,190.6787,22.3626,49.4518,4.6539,9.3792,10.1748,2.394,1.9605,0.817,4.1845,2.4199,1.1659,0.51,8.6727,14.3024,17.1184,13.0028,216.4543,0.5305,0.0255,1.1855,7.4356,0.9072,35.7552,83.3892,19.1767,5.2731,62.5359,1.7184,56.0937,26.0027,213.167,100.3763,84.7872,27.6102,27.158,0.0
SAU_C19,208.0026,28.2603,80.7238,13.8381,3.9992,78.5049,30.9322,17.4435,28.6726,533.87,1802.6579,35.3513,65.0928,156.4732,95.0063,19.6673,1.0149,11.8504,23.894,3.5157,3.4253,17.7535,878.2615,74.0175,937.0584,237.0242,312.004,10.2534,1534.9767,105.2598,7.5294,77.8216,19.5254,398.1375,2.196,9.4825,0.4517,27.1451,84.3003,412.7043,198.1555,205.4114,25.6599,68.6196,0.0
SAU_C20,504.102,19.5428,128.8924,53.8718,8.7012,83.3545,103.9701,12.8732,115.5305,152.176,1707.5847,29.117,235.9766,87.7568,86.8439,25.6817,2.2553,27.8585,12.0669,6.9652,4.1273,75.0244,118.9462,95.758,898.0976,433.4444,35.4155,1.7024,162.023,70.9479,1.3122,158.164,163.7432,119.0767,27.0404,14.2585,0.9308,20.7702,114.9081,430.4738,125.0845,316.0083,28.8606,103.1079,0.0
SAU_C21,21.9305,2.7324,31.0257,1.792,2.1262,2.2653,0.9564,0.1877,1.3009,5.2925,81.2365,64.5608,2.3619,1.1275,0.3489,0.4075,0.0351,0.2402,0.2065,0.1339,0.0062,1.2238,21.0293,7.627,148.6041,30.3228,2.8907,0.1692,22.6044,5.9471,0.2197,27.9715,9.3206,24.6579,3.686,1.3125,0.0264,7.5455,33.2293,128.8271,41.644,94.6375,5.9525,26.2318,0.0
SAU_C22,118.8406,32.6847,59.8322,9.0009,3.7742,205.8795,205.3685,4.3593,25.7747,20.4135,238.265,9.756,407.4744,23.1622,8.347,14.1061,6.7542,60.2003,27.2446,44.5074,16.5327,64.2692,0.4601,20.4089,699.3382,476.319,22.0934,0.0071,8.1389,92.8109,3.9218,45.917,24.2661,62.231,0.6798,2.8434,1.7682,45.8523,36.0657,89.3732,41.1157,95.2546,13.1606,48.6369,0.0
SAU_C23,15.084,0.4109,21.1522,2.1279,1.8698,56.4375,0.6437,0.5084,0.1963,8.2227,25.3462,1.674,1.8349,163.0495,5.3131,4.0657,1.8908,3.3237,4.0393,2.939,0.5583,8.4905,2.2587,13.1745,2702.6268,44.2123,0.1086,0.0081,1.3667,3.892,4.948,34.5571,0.1044,58.4687,0.0,0.1253,0.0487,19.9332,15.6622,12.8908,10.4038,59.7971,2.4933,26.8312,0.0
SAU_C24,0.1508,0.0,275.3494,20.8453,10.148,4.1804,8.6616,2.068,45.6771,72.2114,41.0065,0.5182,62.2585,109.8563,400.9605,614.8468,16.4988,339.9053,243.4781,125.6655,33.5285,76.9543,10.9767,14.5689,2378.1044,22.8891,0.4592,0.0167,10.2637,11.1438,1.1395,60.5827,113.8925,12.8607,0.0,0.0,0.0,69.0117,30.7408,14.7578,27.6278,133.0689,8.0429,51.7019,0.0
SAU_C25,15.9685,1.0478,15.3744,1.6888,0.5466,7.1316,1.885,0.4144,0.9075,8.7754,1.6003,0.0378,1.2281,3.1708,6.1784,4.4949,0.2656,2.695,7.1145,1.2289,0.7075,5.2962,3.7537,3.1157,146.3381,12.715,0.0991,0.0021,0.9635,5.6927,0.0005,3.6644,0.7483,0.0174,0.2572,0.3479,0.099,4.5724,3.0417,21.0728,4.5287,7.7397,0.4864,4.1547,0.0
SAU_C26,0.0187,0.0784,0.4103,0.006,0.0367,0.0915,0.0465,0.0038,0.1971,0.1261,0.907,0.0617,0.0171,0.2393,0.0332,0.5985,1.8718,0.2294,0.4576,0.1208,0.1829,0.614,0.0768,0.2157,2.7957,5.4007,0.022,0.0044,0.5727,0.6002,0.1425,0.624,0.0653,6.6213,0.2541,0.6454,0.0135,1.1662,0.334,15.3834,6.3419,4.4239,0.2465,0.8169,0.0
SAU_C27,1.2793,0.2316,3.7233,0.2786,0.2879,0.568,0.1922,0.0645,0.1672,11.7571,2.2444,0.0787,0.6864,1.2996,0.4821,0.4803,3.4536,26.4474,11.1533,2.7639,0.9073,1.4576,3.3747,11.975,207.859,9.0491,0.0299,0.0034,0.2926,0.9472,0.1599,7.4085,0.1289,21.2163,0.1225,0.7102,0.0159,3.853,2.2834,16.847,11.8074,9.8201,1.9654,3.1294,0.0
SAU_C28,12.7236,0.0534,14.884,2.6733,0.4877,5.0075,3.2529,0.6803,2.8919,30.0512,14.7717,0.4792,2.2067,9.5736,4.1842,2.6395,0.136,1.6809,8.1768,0.6513,0.5964,5.77,9.7754,4.3538,60.8535,41.0039,0.3011,0.0053,0.8078,1.4137,0.5511,5.7841,0.8849,10.2523,0.0147,0.2003,0.0003,1.5156,5.2546,100.4086,6.2804,8.4486,1.2205,4.0569,0.0
SAU_C29,0.3234,0.0134,0.2376,0.0018,0.0189,0.0182,0.0005,0.0008,0.0002,0.0294,0.022,0.0006,0.0014,0.021,0.0,0.0044,0.0011,0.0003,0.0037,2.0981,0.0431,0.0127,0.0008,0.1031,0.0,19.9789,0.8539,0.0,0.0075,0.5695,0.0,0.2342,0.003,0.0,0.0003,0.0003,0.0029,0.2259,0.5981,1.6801,0.0,0.5666,0.1329,0.1271,0.0
SAU_C30,0.023,0.5238,0.2986,0.0071,0.0087,0.0,0.0,0.0009,0.0,0.0122,0.0002,0.0,0.0,0.0021,0.0,0.0,0.0,0.0003,0.004,0.0,0.551,0.0001,0.0,0.051,0.0219,0.1907,0.2548,0.0222,1.8836,0.2532,0.0078,0.1476,0.0015,0.0791,0.0,0.0001,0.0011,0.104,0.1505,5.511,0.1203,0.3532,0.1327,0.0586,0.0
SAU_C31T33,33.6978,8.1275,573.058,3.8162,2.3602,0.1096,0.1161,0.0038,0.0495,0.0792,0.3354,0.0501,0.0195,0.0503,0.1058,0.0228,0.0331,0.0227,0.4551,0.0835,0.0405,559.6597,13.5102,11.8491,306.6416,672.5444,21.6779,1.0068,81.1063,64.43,5.2128,114.5737,114.6317,1.4131,0.0106,8.4695,0.0459,58.5067,118.8838,267.2445,46.3583,280.3367,53.1617,129.3807,0.0
SAU_D,79.6016,11.4035,248.1858,13.2275,6.9398,132.8684,48.8509,9.1602,102.0976,173.9372,205.0953,7.8532,64.9469,140.7188,98.1607,38.0579,2.5727,25.7585,24.4834,13.6941,3.6181,22.1693,277.121,18.1166,796.1383,777.3775,11.8046,0.7319,47.5848,40.9728,7.6811,101.3796,15.8977,327.1331,3.7392,19.3844,10.0957,25.6504,97.6,575.1911,204.6362,198.5618,42.4447,51.6423,0.0
SAU_E,19.33,2.9659,26.7264,2.6245,1.3471,55.3051,12.7135,1.4651,9.9078,48.0097,38.0523,2.8225,10.6936,12.3965,38.92,30.2164,0.8544,12.8532,11.6089,6.6722,1.9907,6.3937,7.4862,58.5169,401.846,185.8481,13.69,0.207,10.0472,8.2038,1.5113,26.4305,7.1622,65.4776,1.7892,4.9809,1.7477,5.4564,26.4518,47.3054,47.9553,52.5713,14.5534,10.4806,0.0
SAU_F,155.5838,22.2076,167.0605,26.1581,12.6729,817.0546,94.557,11.3925,181.8313,462.5141,395.0614,31.7191,59.6075,358.0563,97.6541,128.1945,11.8237,25.2137,95.1017,25.8619,3.4966,45.1083,149.5971,247.7647,6632.2075,1165.4197,12.7439,0.6377,80.7892,387.6349,17.9077,272.6113,23.0138,511.3338,36.7287,58.5826,874.7088,52.9412,12.6689,2021.2923,549.6993,606.0829,113.3331,84.6059,0.0
SAU_G,665.9401,36.0277,678.7058,94.1823,26.5442,1503.059,299.2302,88.1824,332.7689,1938.3908,1230.4572,50.9901,272.3021,339.114,564.4665,317.2853,22.8909,209.8756,182.7729,108.2153,31.3703,202.9826,486.4584,195.813,4525.3857,1512.532,456.4419,3.6885,348.8094,103.1031,8.8667,428.8609,229.4199,213.6279,17.4642,117.6176,38.2447,199.6217,189.4757,2666.8623,369.1932,515.5689,105.6735,197.2963,0.0
SAU_H49,57.9297,3.2416,28.2436,11.9526,1.5576,174.4962,35.101,7.4279,32.2619,48.7157,129.2773,4.803,29.4317,50.6753,55.4611,33.6851,1.7473,19.1711,17.0172,9.2866,2.4332,12.9876,20.8639,10.0752,303.7001,261.1044,7.542,0.3284,30.9263,64.245,0.9398,26.9491,22.7714,30.6128,1.224,1.8065,0.7873,10.4133,13.2068,57.2745,27.1133,39.6884,7.3319,12.947,0.0
SAU_H50,0.0102,0.0078,0.0463,0.0181,0.0025,0.3463,0.0105,0.0005,0.0182,0.0733,0.0247,0.0023,0.025,0.0305,0.1801,0.0609,0.0142,0.0601,0.027,0.0125,0.0226,0.0442,0.1776,0.0113,0.4583,0.0471,0.0647,0.0012,0.1954,0.0048,0.0007,0.0661,0.0375,0.0065,0.0007,0.0106,0.0057,0.0167,0.0236,0.0468,0.0386,0.0473,0.0038,0.0341,0.0
SAU_H51,38.0861,6.9234,77.2355,6.1885,4.4998,124.9173,37.3405,6.6105,22.8387,51.6747,226.5256,20.4464,35.5524,38.6101,56.7656,47.6562,4.7328,28.5868,19.661,13.2231,3.6672,14.509,83.3397,28.7184,688.0036,178.7422,7.3216,0.4083,386.1214,116.6064,1.5369,58.8568,29.7436,225.4233,6.3589,11.9164,1.0272,25.1799,36.9188,258.6629,75.3461,115.8194,17.8951,41.4429,0.0
SAU_H52,115.1081,45.2708,39.7434,24.7584,2.3645,168.5586,31.4511,5.7388,29.8631,106.4118,172.5087,7.3696,34.8498,69.0644,78.9315,35.181,1.9692,19.7384,17.9233,10.3294,3.3789,13.4575,22.9649,24.5789,329.1206,456.4077,84.5033,5.7411,236.1781,231.3868,1.5617,36.7748,66.0528,207.1618,6.0967,2.3538,1.0652,17.121,18.4996,64.8769,24.1397,59.5659,13.6039,15.3762,0.0
SAU_H53,1.4313,0.2458,0.8857,0.2569,0.0712,2.5107,1.0001,0.0688,0.4158,0.8901,4.3,0.3599,0.28,0.811,0.3857,0.2072,0.0543,0.189,0.3421,0.0723,0.0117,0.3571,2.1255,0.3619,14.109,13.5273,0.0542,0.0033,0.6556,0.3327,2.9082,1.4905,0.2108,17.4742,0.0965,0.4378,0.2127,0.9899,0.7252,12.1597,2.2624,2.1163,0.3687,0.9036,0.0
SAU_I,43.6755,0.0256,54.717,0.0289,3.8156,67.3011,39.6453,3.1577,15.1334,137.4612,290.7548,32.9704,27.0841,19.1243,35.7376,23.5007,1.5588,7.731,18.4116,9.8314,6.1723,6.0519,54.3556,23.1671,447.9423,238.7946,1.5761,0.092,26.6907,202.1808,0.7518,128.4137,20.9652,270.0955,4.8848,16.1431,1.0886,68.1751,34.1484,298.045,134.6071,155.8074,22.2754,36.0395,0.0
SAU_J58T60,9.866,0.5997,57.2569,0.681,3.7548,54.3976,3.5114,2.4632,38.3411,55.0514,106.6583,10.208,24.9998,12.2055,10.5301,0.4496,1.2416,11.7442,7.5973,11.1756,3.5789,10.0566,33.4603,45.0859,662.7158,172.7641,4.2653,0.0944,10.8269,60.7619,0.8186,56.8432,184.708,31.3671,15.495,5.7345,2.089,88.6838,27.2055,431.996,479.6211,109.9019,52.0552,23.2934,0.0
SAU_J61,301.3807,48.8737,127.3141,46.7005,6.9437,359.3524,133.5454,10.2372,58.3127,143.122,484.2426,38.8487,39.962,122.1935,54.769,33.469,7.8039,28.3438,50.4849,11.9813,2.5166,36.5897,172.5416,49.3595,1095.8793,1669.2736,6.0153,0.3315,90.6413,29.4697,5.8489,168.6364,14.9827,1407.2265,15.0589,41.0677,26.4445,108.4264,65.1356,925.2952,291.4378,219.0318,38.6655,83.3499,0.0
SAU_J62_63,114.6257,8.7334,61.2723,2.0985,4.5244,210.5759,84.2465,7.1889,41.995,208.8897,187.4351,17.7213,2.604,81.6103,48.3374,16.1203,6.6115,17.4822,43.2419,15.1147,3.2633,12.0199,74.1772,26.7733,147.9363,377.3079,36.0891,0.1854,37.3463,17.3245,6.5696,49.8334,12.57,717.7379,273.7286,35.3885,6.7384,61.8991,25.3852,628.796,98.5121,141.7612,14.6224,39.1668,0.0
SAU_K,155.3904,28.6964,261.7965,12.8043,7.0331,429.5362,206.4003,17.2544,100.3297,353.5253,435.4491,25.9333,105.3943,140.5531,126.3248,78.1255,9.3006,49.8073,80.1628,36.8599,12.6023,91.7732,216.277,71.0631,1544.3719,1331.3295,72.9664,1.8993,218.1075,80.0047,4.501,261.5324,36.2477,345.9201,25.597,1244.5426,161.7191,168.7387,97.3485,991.7036,342.9894,449.2123,44.3871,140.7186,0.0
SAU_L,1.1031,0.4987,1.2295,0.3225,0.0483,19.5672,6.7352,0.5975,2.2742,2.706,20.6463,0.9571,3.3313,6.6324,1.3199,2.0532,0.5739,1.1678,1.9618,0.7892,0.3974,33.3815,6.0254,0.139,75.1573,430.6893,1.684,0.0298,0.4305,8.7199,0.7454,59.495,2.577,32.1886,1.9383,6.6093,3.751,13.5982,11.3217,85.1057,106.7229,41.0185,6.7607,28.4291,0.0
SAU_M,13.9697,3.2699,35.6836,2.3945,1.0826,98.7298,34.7375,1.6359,18.0848,35.1208,122.7711,10.1137,14.3175,20.0649,6.7662,6.9867,1.8701,6.3482,8.015,4.1803,2.1441,20.5622,14.2173,10.7895,188.4243,606.5681,3.1062,0.5195,7.9751,7.2845,1.4506,31.2548,10.0289,87.598,4.2616,14.8671,7.5037,43.9724,11.4868,384.5457,79.1471,109.25,19.7456,31.4087,0.0
SAU_N,9.3644,8.0229,346.1064,8.85,9.3344,136.2072,52.423,3.2213,31.6206,47.87,163.788,12.209,28.8707,75.204,14.9773,18.3984,2.9945,12.012,20.2117,7.8646,3.3822,42.3536,27.6221,19.4177,922.5114,707.3174,17.3285,1.1458,347.1581,38.8947,7.1121,69.5338,12.7154,169.5696,10.7856,21.6987,14.4337,31.9962,113.6268,698.0411,184.0979,270.4934,60.6653,67.5149,0.0
SAU_O,41.1346,7.9319,237.383,4.5174,6.3569,136.9248,65.0779,5.232,21.7242,97.2496,238.2451,13.1625,29.0602,36.0262,94.2082,16.1647,1.2101,5.6161,8.2617,7.4997,3.2377,19.7884,43.7632,39.0272,340.9903,314.9857,11.4928,0.1953,20.2688,11.22,9.3277,69.7434,21.431,140.7484,3.2815,9.2561,50.4364,31.9568,21.0391,286.2843,177.0202,115.5833,13.5557,43.4893,0.0
SAU_P,13.5861,2.5774,112.1663,1.3565,2.1675,50.4129,24.1615,1.931,7.2892,35.7979,87.3787,8.7759,10.5279,13.1913,33.7038,5.7286,0.4412,2.0009,2.95,2.6684,1.1511,7.9566,29.2469,10.7403,6.8906,92.8238,2.373,0.0612,3.981,2.221,1.2262,21.9408,8.127,47.3644,1.016,2.4419,0.8786,6.3038,2.1884,98.9051,60.0478,23.6319,2.3492,11.7035,0.0
SAU_Q,155.4025,13.2871,103.6073,10.0772,7.9305,247.9358,11.4147,9.5818,3.7887,207.9335,191.6095,24.4133,43.4348,35.1844,12.1257,0.0,2.7345,12.9263,15.3099,14.8449,4.8962,38.1659,65.4952,41.6735,416.5862,508.4796,25.1883,0.2579,0.0,8.059,49.3466,126.8947,11.4368,341.2987,9.4695,19.729,1.745,20.1071,9.4089,483.6408,168.8214,857.7877,36.8027,44.6534,0.0
SAU_R,0.0,0.0,6.9763,0.5338,0.5206,7.008,0.0,0.0,2.1179,13.2892,3.2998,0.2039,1.294,0.0,0.0,0.0,0.0,0.0,0.2541,0.8993,0.3057,0.0,0.0,3.1916,0.0,9.0199,0.051,0.036,4.4427,4.0827,0.5209,18.9842,23.8018,9.9937,0.0,0.8496,0.2211,37.6189,16.5754,93.0761,7.8778,5.5008,96.1786,3.6222,0.0
SAU_S,29.4138,8.0717,7.1467,2.9412,0.6273,22.0029,1.7233,0.7656,5.5042,48.2592,51.2753,2.9579,2.0676,7.8082,4.0133,2.3903,0.1767,0.5846,1.2634,1.0711,0.185,20.0365,8.1463,28.3034,187.6006,100.3856,6.8636,0.3088,0.0,5.1485,0.6236,27.366,3.6403,11.8583,4.6566,17.0797,1.8315,23.1703,12.7962,16.718,22.9767,29.0703,7.4066,33.3548,0.0
SAU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
