V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_A01_02,437.2444,0.2467,1.3188,2.0047,0.0643,365.4271,6.7531,203.2167,136.6841,6.424,24.8972,1.3917,46.0709,8.4638,11.4552,6.3258,9.9164,3.1333,6.1733,15.0882,0.6623,6.9285,33.7014,3.2841,36.3831,91.1634,10.6364,0.0962,0.1496,9.6335,0.2962,8.8695,1.2093,1.2376,3.9286,1.3131,7.8895,14.5595,16.4986,6.3011,4.7355,6.8042,1.4298,4.7528,0.0
SVK_A03,0.0061,0.0005,0.099,0.1892,0.0,0.8786,0.0118,0.0014,0.0029,0.0051,0.0045,0.0004,0.0046,0.0083,0.0058,0.0052,0.0116,0.0037,0.0036,0.0093,0.0006,0.003,0.0119,0.0694,0.0076,0.0721,0.0061,0.0,0.0001,0.0041,0.0001,0.004,0.0014,0.0016,0.0043,0.0023,0.0013,0.0033,0.0035,0.0079,0.0107,0.0152,0.0024,0.0977,0.0
SVK_B05_06,0.6355,0.0012,1.1383,0.5734,0.0097,0.48,0.073,0.3267,0.1846,12.0135,0.2337,0.0253,0.2223,2.7387,24.9913,0.229,0.5074,0.1914,0.2038,0.7592,0.0216,0.3524,52.6049,0.2865,5.6572,1.1812,0.5826,0.0032,0.0126,1.1439,0.0389,0.0627,0.056,0.0909,0.0468,0.4128,1.9774,0.4649,0.3123,0.2295,0.3216,0.1683,0.1152,0.1873,0.0
SVK_B07_08,1.8758,0.0011,0.3253,2.219,0.1317,0.5117,0.0544,0.5234,0.3253,16.9118,0.6646,0.1973,0.3948,22.6998,49.1108,0.2379,0.2831,0.1745,0.1536,0.3492,0.012,0.0968,31.982,0.7405,22.7315,1.1727,0.4036,0.002,0.0018,1.2828,0.0163,0.0553,0.0478,0.0258,0.0195,0.0344,7.1492,0.7578,0.6977,0.2689,0.5236,0.1273,0.034,0.3303,0.0
SVK_B09,6.7892,0.003,11.5792,6.8418,44.9743,0.7142,0.0042,1.6227,0.478,77.9358,0.0806,0.0021,0.3893,7.1114,11.1293,0.0886,0.0226,0.0014,0.0655,0.0216,0.0059,0.0477,59.5509,1.9336,14.3534,1.2888,0.4049,0.0,0.0,3.0666,0.1256,0.0288,0.0152,0.0,0.0008,0.004,31.8604,3.1783,0.4567,0.5888,1.7454,0.3521,0.0285,0.2416,0.0
SVK_C10T12,41.194,0.1399,0.0063,0.0089,0.0088,352.1202,0.2372,0.043,2.287,0.0137,5.8431,3.7946,0.238,0.0631,0.0486,0.0491,0.0634,0.0055,0.1892,0.012,0.0035,0.0817,0.2169,0.2995,0.3834,25.1124,0.5728,0.0851,0.0596,0.1283,0.0303,63.9375,1.1715,0.0289,0.0248,0.0321,0.5142,2.6386,4.4166,1.9063,14.8436,30.6084,0.9406,3.4924,0.0
SVK_C13T15,0.6865,0.0013,0.0348,0.0658,0.0198,1.9789,85.9259,0.2718,4.4369,0.7681,0.4166,0.1805,4.5464,0.8526,1.845,10.5534,1.8767,2.0445,5.7943,56.9371,0.4437,5.1952,2.0675,0.6156,3.2002,12.0842,0.8837,0.008,0.0378,1.5614,0.0456,0.5781,0.3923,0.3332,0.1827,2.8826,0.3697,1.0205,4.2981,4.6805,1.7162,2.8079,1.3056,0.9396,0.0
SVK_C16,18.1614,0.0179,0.6398,0.8867,0.0298,5.1815,1.6367,133.8781,16.9869,1.2004,3.1602,0.3437,5.1467,19.4552,5.1389,8.8803,3.6256,6.8279,10.735,8.9072,6.2961,174.7368,10.5424,0.762,130.5363,54.0245,1.575,0.0137,0.0456,5.519,0.1532,6.1948,0.3318,0.2834,0.4497,0.2459,2.8719,16.7939,38.1824,1.382,1.4356,5.2835,8.2981,3.1103,0.0
SVK_C17_18,3.3558,0.0109,0.0586,0.1623,0.0324,49.8296,5.5036,2.2643,173.2074,0.7708,5.6521,5.5496,10.2036,6.968,3.9521,3.7384,18.949,4.8565,6.5503,11.4509,0.1932,4.0283,19.9102,0.9638,2.257,51.9607,3.9311,0.028,0.097,1.8394,3.3793,1.9255,48.4156,2.9983,7.1154,6.5779,2.1159,21.4966,24.8584,20.7825,11.7848,10.5997,4.447,7.4965,0.0
SVK_C19,108.7625,0.1799,1.3155,3.6708,0.848,37.5297,8.5917,15.3387,12.8677,342.4415,336.5623,2.2091,30.1451,24.1051,70.0183,14.1837,6.2613,5.6248,14.509,70.561,1.2303,14.2774,126.7931,23.4908,60.3003,189.677,352.2108,3.9965,13.1901,25.6291,5.165,8.4729,7.0495,5.2984,6.9025,2.9146,3.9627,22.9615,30.1297,12.6096,9.3797,21.6666,5.3113,8.6366,0.0
SVK_C20,68.2479,0.0153,0.4527,1.1011,0.2477,12.5167,27.033,5.7199,53.0013,28.2099,159.5687,13.342,179.1249,16.6467,41.5462,11.2457,20.6539,24.1168,16.1022,84.6994,2.0403,11.503,21.6252,3.9246,22.1858,31.2425,24.8596,0.2913,0.8845,4.4624,0.4033,0.8583,8.5517,0.4407,0.642,0.5167,1.1394,7.8321,7.8981,3.9865,2.6751,16.7166,0.9023,1.6637,0.0
SVK_C21,1.6819,0.0002,0.0102,0.0453,0.0061,0.2839,0.8022,0.2563,1.432,0.4584,5.3722,0.9438,6.5942,0.6037,1.112,0.5251,0.612,0.7468,0.6115,2.1161,0.0603,0.2929,0.7527,0.1308,0.7502,0.6017,0.081,0.0021,0.0013,0.0804,0.0038,0.0192,0.2766,0.0151,0.0209,0.1418,0.0665,0.4174,0.2173,0.5149,0.1376,5.6073,0.0339,0.2494,0.0
SVK_C22,11.8094,0.0042,0.7439,1.2992,0.0679,33.7033,22.3964,1.5854,30.2019,0.8584,25.0048,2.2905,202.0159,9.8282,4.1347,24.0583,250.1948,45.9155,20.8587,221.0916,0.3817,18.9717,4.5626,7.8794,58.1754,33.5431,14.6667,0.0089,0.3045,2.5277,0.123,0.8695,2.3343,0.3149,0.301,1.0728,1.0642,5.5129,14.8438,2.1145,1.2634,7.0927,0.427,0.7195,0.0
SVK_C23,6.4257,0.0096,0.5279,1.8996,0.2,19.1577,3.3433,2.378,2.4567,7.2395,10.5469,4.8001,21.4834,182.7153,107.2788,20.5975,5.903,17.6856,10.469,12.1716,0.5378,5.6058,17.9868,6.3492,402.2207,27.5338,8.7919,0.026,0.0346,4.0356,0.1189,1.2581,0.3871,0.4865,0.3937,1.2337,19.7828,8.6921,4.9678,1.5524,21.0092,3.0362,0.3087,2.8578,0.0
SVK_C24,1.2235,0.0007,0.2718,0.3311,0.4691,9.4384,0.8261,0.4516,2.3967,0.0068,4.7724,0.0445,24.8143,13.7565,702.7739,246.1212,67.3798,107.5875,335.7433,332.0077,28.7272,53.2259,24.2263,1.3421,140.9013,80.4717,0.6465,0.0345,0.0122,3.1555,0.0026,0.0533,0.14,0.0081,0.0496,0.0512,1.4248,5.0434,1.2552,0.1918,0.6319,0.6876,0.0864,0.1388,0.0
SVK_C25,8.4162,0.0104,0.5992,1.1764,0.2518,11.6581,7.1389,5.8351,15.1756,23.0889,7.4996,1.3222,54.8703,11.3497,49.2638,475.0324,42.6682,73.2378,245.5315,435.9642,17.3693,129.28,19.433,3.8906,93.4794,48.4739,3.6994,0.143,0.1588,4.073,1.0959,1.461,0.6718,0.8754,0.696,0.7634,8.6838,22.221,12.6044,5.5094,1.8284,6.9412,1.3299,1.1409,0.0
SVK_C26,1.0452,0.0013,0.0797,0.1485,0.0507,1.922,0.6863,0.3177,1.048,1.0743,3.3985,0.375,21.7099,0.836,3.4052,18.7073,1307.4343,84.7712,44.8724,36.1543,3.0501,18.024,9.1585,3.7188,11.061,55.0276,4.3926,0.0741,0.5761,5.4684,0.0595,0.5077,8.2802,3.6694,2.5268,0.2852,4.717,9.5771,4.1072,9.4508,2.7722,4.2534,1.3913,2.4025,0.0
SVK_C27,1.6043,0.0018,0.3113,0.4798,0.0373,2.6718,0.5447,0.4326,0.9905,0.7404,2.2572,0.2769,7.3437,1.2734,1.8228,12.7386,66.5846,126.5299,21.5378,92.1848,2.2167,18.2078,23.1757,2.8978,67.3208,82.6701,7.4841,0.0357,0.7942,2.9819,0.102,0.5424,1.0307,6.5229,1.8534,0.7383,4.1827,16.9042,3.2632,3.0482,0.872,2.7118,0.4423,7.5402,0.0
SVK_C28,13.9911,0.0098,0.3917,0.7086,0.2823,4.3064,1.4867,6.1465,6.6732,3.3704,20.7507,1.8241,6.3952,4.2096,9.0381,68.4727,8.0867,33.1126,64.3971,106.3941,1.432,24.3797,11.7502,2.6998,22.5335,33.2492,2.356,0.0662,0.3208,3.2223,0.2486,0.8435,1.1924,0.5332,0.6047,0.5561,4.6735,13.1797,3.0357,9.0617,1.4198,7.1746,1.1477,1.0407,0.0
SVK_C29,3.345,0.0512,0.074,0.1615,0.0527,2.4926,0.9134,0.8153,1.4775,0.5519,3.0144,0.323,15.0993,1.1373,1.9869,13.2461,18.9434,15.0389,13.0041,2433.7639,1.4922,5.4891,10.4595,1.8488,5.414,64.5359,23.4994,0.0516,0.0712,5.5334,0.1224,2.0246,0.4246,0.2773,0.314,1.8652,0.9408,2.9881,2.3461,4.3485,1.4134,5.3569,0.932,0.6983,0.0
SVK_C30,0.1098,0.0006,0.1474,0.1507,0.0074,0.0689,0.1377,0.1211,0.0923,0.0004,0.3927,0.0532,0.2921,0.562,0.0802,0.3243,0.1215,0.1262,0.9595,0.066,61.0125,67.0288,0.2723,0.5795,0.6372,1.881,50.8914,0.0706,9.4965,1.1776,0.6589,0.0473,0.0478,0.8093,0.0161,0.0192,0.0388,0.2679,2.5781,0.0485,0.0367,3.9593,0.1769,0.0742,0.0
SVK_C31T33,21.5078,0.0235,2.5318,3.6842,0.5732,32.3805,7.5301,28.0024,27.4112,20.2717,24.6394,7.3101,18.9475,22.621,59.5472,23.621,29.7695,14.9817,34.9581,105.7801,2.3361,168.8498,111.3072,18.7202,94.0419,122.2562,11.6834,0.8539,0.4313,33.4767,1.7807,20.8384,4.5629,2.8822,2.8009,8.7195,23.2495,96.6336,26.9831,71.3404,11.5295,133.6602,18.3113,8.0065,0.0
SVK_D,142.1695,0.1842,4.1568,10.8543,0.8237,179.3687,51.3162,27.8066,118.0186,68.411,294.5102,29.6693,84.8584,98.114,311.5212,98.0731,43.6017,41.3476,59.4559,272.9031,3.5898,27.908,5305.5071,64.6874,100.3537,400.973,249.1824,2.1408,0.8599,130.7998,16.2277,104.1906,37.9571,52.5054,23.4181,23.1715,147.1636,128.8584,61.7561,324.5298,236.5515,192.3639,61.6732,84.0602,0.0
SVK_E,6.5142,0.01,0.1477,0.2998,0.1216,19.779,4.5338,1.0426,9.0198,1.5577,9.6462,5.2114,6.6683,8.9098,21.9635,5.1327,7.6471,3.0785,7.4786,31.6576,0.8061,6.2926,88.153,39.3142,22.0907,33.3955,7.9712,0.2618,0.0971,21.6492,0.3763,3.0595,5.2933,0.6687,0.3174,0.4242,14.1142,7.5453,5.9955,161.0813,22.8449,30.041,4.0796,7.2493,0.0
SVK_F,56.4932,0.0264,3.6806,8.5537,0.651,21.4194,8.5606,5.7215,6.2105,19.7446,19.0414,1.9355,26.9782,55.7043,46.6934,51.3327,29.2004,26.8072,36.2845,36.0892,0.8183,59.7559,168.841,61.4183,3954.3336,262.1292,59.4599,0.3349,0.3904,148.8226,7.9827,25.1014,11.5076,31.1335,14.5708,8.3855,905.081,153.3804,141.3328,113.5954,77.7712,59.8362,15.9947,50.423,0.0
SVK_G,180.6076,0.2872,4.0946,8.2875,1.39,389.6476,91.2045,69.4422,122.7533,179.9121,167.0179,29.9849,187.4285,112.5577,222.1634,191.047,490.0352,148.8587,160.1858,612.1933,21.171,171.3818,476.6221,49.8916,408.7127,686.1825,227.6231,1.6875,7.3783,90.2839,12.3677,65.222,53.3109,57.6693,83.4476,69.6146,90.9573,271.5738,140.2008,139.2267,52.79,144.0165,37.1594,36.8572,0.0
SVK_H49,24.7518,0.0428,3.0043,7.455,0.5099,119.2608,19.9983,28.343,55.0187,64.2176,37.307,2.7017,40.173,69.7909,153.8083,42.3914,82.4983,23.988,35.2538,207.8903,2.7257,20.6863,77.1392,13.0191,92.6895,219.9593,223.6672,1.013,0.8365,465.7076,12.7547,7.0721,6.0606,1.277,1.8131,1.4221,6.5465,40.5937,22.0885,23.8868,10.1521,11.3773,9.5149,9.9067,0.0
SVK_H50,0.0859,0.0011,0.0024,0.0069,0.0043,0.3654,0.0159,0.0245,0.1723,0.0898,0.0682,0.0051,0.1987,0.0648,0.6251,0.0688,0.1762,0.0433,0.0693,0.7356,0.0152,0.0413,2.1079,0.0631,0.1465,0.5247,2.8598,0.1054,0.0228,9.237,0.0184,0.0202,0.07,0.0324,0.0273,0.0171,0.0793,0.165,0.2312,0.5683,0.0263,0.0482,0.011,0.0225,0.0
SVK_H51,0.2713,0.0018,0.0201,0.0346,0.0065,0.537,0.0984,0.1117,0.2999,0.8758,0.3735,0.0569,0.3703,0.2901,1.0835,0.378,0.6119,0.21,0.3567,1.2186,0.0375,1.0238,2.019,0.1404,0.6246,0.8484,0.4059,0.0166,0.0101,0.9893,0.0156,0.0706,0.0487,0.0242,0.0164,0.0266,0.142,0.6368,0.1798,0.4773,0.0554,0.6871,0.0966,0.0467,0.0
SVK_H52,10.5274,0.0432,0.893,1.8968,0.5261,56.2077,4.5852,6.6467,30.701,15.1902,16.0824,1.4521,25.3975,17.0917,103.9658,11.5369,27.9456,7.1883,10.6137,104.4506,1.5892,15.8991,241.3364,11.5557,61.8659,105.1118,389.1063,13.2844,2.769,1222.8877,7.7431,2.9934,6.4559,9.3442,3.0389,3.3592,20.9102,26.7485,35.8661,79.3214,5.6929,13.0691,3.7916,4.2419,0.0
SVK_H53,1.2733,0.0214,0.0473,0.0972,0.0446,1.9842,1.1212,0.4281,8.7586,1.0966,0.8573,0.0599,0.5848,0.7943,1.5491,0.9219,2.1165,1.1882,0.5686,2.4856,0.0882,0.8801,12.9602,3.3098,1.6102,37.6561,1.4092,0.0161,0.1112,9.3628,127.9102,0.904,7.3945,17.6672,4.6026,27.8656,0.7968,11.4597,3.1645,64.3134,4.9673,4.6312,1.6874,5.2036,0.0
SVK_I,0.173,0.003,0.0096,0.0148,0.0892,1.0151,0.1335,0.0321,0.1994,0.0066,0.441,0.1158,0.2019,0.2446,0.0962,1.0502,0.4289,0.3798,0.6992,1.7276,0.0204,0.559,0.0684,0.1981,2.2856,4.6407,2.8914,0.1064,0.0394,0.7422,0.0502,0.2609,0.4464,0.0672,1.5213,0.5422,0.2917,6.7541,32.6675,44.8876,11.8126,8.1395,8.0039,6.8139,0.0
SVK_J58T60,1.526,0.0029,0.0279,0.0746,0.0453,16.4567,1.665,0.4877,8.6537,1.5318,1.3536,0.788,2.7053,1.7596,3.5882,1.5675,23.3416,1.442,1.8887,7.7698,0.3149,1.5874,10.8908,0.8229,3.7797,80.0307,5.2232,0.0399,0.0886,3.3146,0.894,2.18,48.6415,9.9545,16.3636,10.9769,7.0122,66.8337,12.2167,14.6179,6.5839,7.5019,9.6017,6.9159,0.0
SVK_J61,7.711,0.0271,0.1224,0.2333,0.1406,9.481,5.6625,2.8982,4.0715,0.102,3.9689,1.3381,4.7219,2.9772,4.2677,3.9654,10.4985,3.3518,4.7156,17.9166,0.3166,6.112,11.1011,4.7611,16.2002,136.5739,9.1883,0.1231,0.3251,20.111,6.0779,7.0353,55.7098,533.4737,30.8893,25.8191,5.3832,42.3669,61.6982,101.4152,17.4281,22.9134,18.7025,12.1191,0.0
SVK_J62_63,2.4572,0.0062,0.0691,0.1472,0.1192,16.8797,1.9279,0.8895,4.9183,2.8537,2.7462,0.7237,7.6974,3.1656,13.1706,3.4589,9.5756,5.4383,6.0886,108.6077,0.4663,4.3476,46.4941,6.7706,21.5506,177.8883,11.4155,0.067,0.1215,8.6347,5.533,1.4778,46.4757,44.1021,263.984,69.7317,16.5542,42.9674,20.4434,89.251,7.5146,10.406,5.0677,5.6437,0.0
SVK_K,18.8205,0.0292,0.5035,1.1383,0.7668,32.7859,7.1233,3.9939,9.5744,3.1216,19.0769,0.4366,18.6337,10.6304,8.5676,14.1863,5.3605,7.1242,8.5503,27.9349,5.699,6.3974,34.5323,10.2189,39.1692,264.9449,22.4314,0.2489,4.1213,22.2129,4.9697,40.653,4.7454,3.983,33.9658,1301.1917,208.3702,48.5267,61.3739,85.2584,10.5422,27.572,7.3284,18.1655,0.0
SVK_L,148.4522,0.0352,0.5373,2.1063,0.3334,54.926,76.1609,5.9072,15.924,3.8636,27.7788,8.8866,53.3578,11.5899,5.4409,64.4572,39.6417,17.9433,58.6237,197.0441,3.0774,48.3535,86.8308,78.0091,189.3772,1124.1905,767.1671,0.8276,0.136,53.0311,8.2563,115.5549,56.7394,119.1746,128.1092,84.3136,800.6237,245.0327,141.7988,126.1207,69.0584,171.151,70.1333,73.4367,0.0
SVK_M,30.7016,0.053,1.9041,4.0238,1.5931,166.5549,30.7765,11.9678,53.7067,10.0873,26.5133,65.7475,67.0655,38.6768,50.7121,42.2366,177.5197,52.5377,79.5628,494.9677,5.9481,42.3262,379.8126,34.7857,223.9753,990.579,29.5351,0.6065,2.7108,76.8713,10.5868,29.3931,65.5349,109.1709,121.7447,109.5033,225.2583,996.8124,132.3336,241.0561,28.0578,76.2651,35.8173,40.8185,0.0
SVK_N,23.9971,0.0337,1.4141,4.2579,0.9715,83.8116,17.6922,7.0762,20.6961,5.1204,21.5274,13.3804,44.1525,21.3657,41.341,17.7122,110.7552,25.8584,23.1427,226.8631,0.9613,12.5674,103.6744,17.9778,89.3567,356.3515,65.5291,0.7077,8.7218,61.5891,10.6086,14.0934,24.9114,70.2563,32.1025,58.363,60.0187,156.1838,292.4991,141.7009,22.2459,79.3872,49.3612,19.9431,0.0
SVK_O,4.3439,0.0098,0.0994,0.2469,0.1158,4.5433,1.8662,2.0367,2.7633,1.0086,1.2832,0.8698,2.9145,1.7321,1.7345,1.5604,6.4437,1.2798,1.8308,14.8065,0.2603,1.1651,8.1525,4.2738,4.6053,21.273,8.6247,0.0678,0.4968,3.0857,0.1956,0.8304,7.2051,1.7961,2.8267,68.2929,2.8921,9.5837,6.8858,225.1606,5.8467,8.2358,8.7784,4.6079,0.0
SVK_P,1.2552,0.0051,0.0518,0.0864,0.0285,2.5531,0.4742,1.0067,1.3331,0.2784,0.5057,0.4962,1.5049,0.7383,1.8948,0.9044,1.9111,0.7405,1.3259,13.2643,0.153,0.7386,3.0144,0.4851,2.3527,15.5476,1.1356,0.0325,0.0437,1.4374,0.1472,1.1943,2.1205,1.1917,4.9692,5.1142,0.7943,9.1041,2.268,35.1761,50.6928,11.1508,7.2454,15.6124,0.0
SVK_Q,4.4851,0.0061,0.0223,0.0503,0.0258,1.7888,0.325,0.1972,0.4626,0.3979,0.6055,0.2866,1.2989,0.4362,0.7252,0.4555,1.308,0.386,1.0247,2.5319,0.0578,5.1322,2.4778,0.2009,1.3671,4.1404,1.2723,0.0119,0.1405,1.2016,0.0454,9.0197,0.7097,0.2798,0.7595,0.9701,0.7476,3.9679,1.5721,7.9244,3.9937,111.6905,1.2928,16.4171,0.0
SVK_R,1.1784,0.0512,0.0286,0.0864,0.0225,7.5721,0.8905,0.292,2.0334,0.5207,0.7979,0.7517,1.8456,0.9446,1.3514,0.9401,32.028,2.3838,1.7397,5.4198,0.1707,1.381,3.1887,0.6774,2.9861,29.0371,1.3557,0.0249,0.084,2.8257,0.3975,1.9494,4.9667,4.8661,1.9633,3.3164,3.5059,30.9836,9.8494,26.508,2.2148,4.0312,193.1462,4.2943,0.0
SVK_S,6.2017,0.0052,0.373,1.5024,0.0998,14.879,3.5702,2.3763,4.0131,2.2237,2.3461,0.7353,3.9868,3.1307,2.7032,2.9164,5.0778,3.2608,4.983,9.5239,0.6736,2.4781,15.9516,3.0026,9.3806,25.6756,10.5524,0.5097,0.2343,6.2103,0.9408,10.8979,4.0086,12.9635,4.0215,4.8712,9.4717,16.1255,15.3432,23.0939,12.5975,50.4896,5.5528,28.3161,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
