V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,166.0598,9.4156,0.0,2.3771,0.0346,2315.6489,24.4719,24.9324,9.6022,0.5977,20.5958,7.4999,3.2566,0.0516,0.0031,0.0173,0.0125,0.0053,0.0137,0.0097,0.0101,11.2055,0.0,0.0,0.8631,99.4305,0.7835,0.0857,0.1509,0.4349,0.0,97.2201,0.4858,0.0,2.2741,0.0,1.932,7.358,5.1168,28.0567,0.6295,1.5317,2.0934,4.4342,0.0
TUN_A03,18.3049,37.486,0.0,0.3135,0.0001,353.3392,2.9347,0.6713,0.5386,0.1225,2.894,1.9894,0.3619,0.0037,0.0005,0.002,0.0015,0.0017,0.0019,0.0012,0.001,0.9455,0.0,0.0,0.0999,6.7853,0.1844,0.0419,0.0911,0.1026,0.0,74.9736,0.7846,0.0,0.5297,0.0,0.482,1.7211,1.1877,7.0938,0.2385,0.6631,1.0078,1.6432,0.0
TUN_B05_06,2.1495,0.3462,99.1989,25.861,3.1669,53.9593,22.5203,3.1792,10.6164,340.0826,13.8538,0.396,4.6423,12.3702,12.6153,8.738,5.3767,3.7145,5.8118,4.7022,2.7165,4.2399,338.166,3.5697,18.6338,13.5013,0.2707,0.0313,0.0453,0.076,4.4546,64.9114,2.015,22.1955,3.0804,32.6069,2.9459,8.4412,5.968,7.2012,0.22,0.2754,0.1874,0.6779,0.0
TUN_B07_08,0.0,0.0,0.5564,12.5981,2.2648,5.479,3.2539,0.0061,0.0361,22.8068,228.0995,18.5321,0.0142,41.3339,0.2564,0.2199,0.0905,0.1569,0.1413,0.0788,0.0221,0.0187,0.0,0.0,88.8977,0.1778,0.0125,0.0007,0.0014,0.0056,0.0,2.5891,0.0008,0.0,0.041,0.0058,0.0418,0.103,0.0368,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,1.7477,0.5438,157.8006,13.0777,36.1714,1.4412,0.1831,0.0358,0.4805,17.7948,2.4633,0.0909,0.1066,8.3034,4.9665,1.1316,0.0263,0.0744,0.286,0.0224,0.0134,0.0587,5.5197,0.4292,21.876,0.093,0.7419,0.0266,0.0588,0.4507,0.006,0.1191,0.0002,0.0,0.0021,0.0014,0.3009,0.3476,0.1991,0.9742,0.0009,0.006,0.0056,0.0089,0.0
TUN_C10T12,283.0761,26.0999,0.654,1.1516,0.3115,567.5165,6.4155,0.1127,0.1562,1.5582,41.956,14.0159,0.1343,1.5117,0.3241,0.3812,0.2885,0.2243,0.3482,0.2536,0.0719,0.165,0.5148,4.0574,6.4941,33.7321,3.8712,0.4495,1.3178,0.407,0.4711,509.294,0.248,0.5906,4.3507,3.1272,4.0406,13.0701,7.908,27.4777,0.6931,1.8431,1.2696,1.6226,0.0
TUN_C13T15,0.2499,0.091,5.8132,1.7107,0.1873,4.6567,1024.0222,0.857,3.7793,0.6049,0.579,0.2248,3.3171,0.9495,0.0262,0.1303,0.1675,0.0859,0.1355,0.2561,0.0479,10.0679,0.3107,4.3315,3.3953,12.7455,1.2657,0.2266,0.4327,0.6281,1.4303,1.5395,1.2904,1.4427,5.2887,0.0315,4.2357,14.5644,12.918,44.3771,0.8652,2.6279,2.6391,5.6207,0.0
TUN_C16,0.8708,0.1024,0.771,0.8952,0.1908,10.5893,7.7677,98.9918,15.6093,0.007,1.1981,0.1895,5.2638,3.006,0.7147,4.2994,2.5635,1.6964,2.8334,1.8985,1.4088,55.5524,0.0511,0.5234,128.4722,3.4021,0.5051,0.0893,0.0762,0.5007,0.0938,0.1627,0.784,0.1368,0.7985,0.7118,1.4926,2.0818,1.8676,3.3496,0.104,0.1088,0.3558,0.7385,0.0
TUN_C17_18,0.5695,0.1112,0.6662,0.7832,0.2323,44.9073,22.4084,7.4166,121.7365,0.0112,3.932,2.0736,4.0304,3.3743,0.7566,3.3823,4.8859,3.175,3.1511,1.6943,0.567,6.1353,0.0483,1.2376,5.7403,17.8274,1.2201,0.1171,0.2808,0.9348,1.2063,0.6348,48.8834,1.937,3.8116,11.4784,2.0119,13.2393,4.3416,13.0804,0.5262,0.5131,1.0868,0.9904,0.0
TUN_C19,54.971,10.7626,6.4872,11.0211,3.1101,14.7444,10.9341,1.5332,2.0552,0.0232,6.1197,0.6044,1.7826,18.5799,3.9819,4.2346,2.9197,2.4673,3.7179,1.669,0.5132,1.7564,7.0936,1.9203,56.6391,12.5764,53.1792,6.1234,18.0397,5.4924,3.9983,2.3237,0.6925,3.4339,1.2263,0.4452,1.8098,3.4834,4.7147,12.7054,0.1585,0.4173,0.4231,0.4638,0.0
TUN_C20,61.3939,1.1507,3.7746,4.8651,2.0462,53.3616,81.7728,9.7462,20.7188,0.0074,245.2405,33.5454,56.1911,5.7679,4.8663,13.5056,16.0064,13.5021,7.48,8.4067,2.3061,12.3935,0.1162,5.745,16.3906,2.4363,0.221,0.0309,0.0492,0.1367,0.0471,1.4908,2.9981,0.0646,3.3441,0.5992,5.9789,15.0236,9.6627,5.341,0.2311,0.8213,0.313,1.1351,0.0
TUN_C21,14.612,1.0959,0.2387,0.5502,0.0144,13.522,6.3887,0.7327,2.4639,0.001,30.7215,171.3974,1.7688,0.4225,0.4219,1.0626,2.1705,0.8806,1.0949,0.7812,0.3017,2.147,0.0094,0.5361,1.1928,0.3635,0.0427,0.0141,0.0154,0.0316,0.017,0.2827,0.4339,0.0219,0.9605,0.1788,0.7309,5.6989,1.3575,2.8339,0.0717,0.9342,0.0208,0.1239,0.0
TUN_C22,0.5925,0.0709,0.6453,1.0151,0.6407,29.717,21.542,3.5989,7.7721,0.0105,3.8125,1.3465,29.3859,2.8377,0.6196,4.1364,7.2819,7.0481,7.3618,8.2484,0.861,9.6816,0.0238,1.0405,44.0958,6.6189,1.3547,0.058,0.1021,0.3136,0.2712,0.2397,2.619,0.3092,0.5943,1.0648,0.7738,1.858,1.3227,2.7078,0.0594,0.1917,0.1135,0.2697,0.0
TUN_C23,0.2445,0.019,1.9699,2.4079,1.224,14.3003,2.3077,0.8931,0.6036,0.1592,4.0431,1.7326,1.306,157.3368,2.1372,4.1527,5.344,3.8062,3.2477,3.2694,0.6505,1.1059,0.2898,0.6231,656.6954,1.7475,0.1938,0.0121,0.0269,0.1239,0.0808,21.2086,0.1134,0.4172,0.316,0.1603,0.5732,0.7014,0.4227,1.5559,0.0427,0.0991,0.0812,0.1329,0.0
TUN_C24,0.086,0.019,0.1501,0.2309,0.7207,5.5702,3.8304,0.4621,1.0241,0.0017,1.092,0.1538,1.754,2.5569,35.7965,71.4747,14.422,26.7282,29.5625,22.761,4.7588,5.1149,2.2241,0.0118,53.8213,0.4212,0.7311,0.1758,0.1237,0.3693,0.1995,0.3934,0.181,0.4034,0.5404,0.0764,1.0399,2.8727,0.7738,0.6601,0.0117,0.0265,0.0325,0.1252,0.0
TUN_C25,1.0859,0.1339,0.5565,0.8996,3.4626,71.6119,37.4356,5.533,2.8497,0.0134,5.56,1.3243,6.1767,7.0207,17.1686,158.6201,54.5329,52.0092,92.5526,61.8694,17.2438,24.3603,8.9109,0.0305,228.1478,3.8634,3.6629,0.516,0.5915,2.4528,1.0311,4.055,1.0291,2.8866,5.408,0.4282,6.5221,12.5875,9.1953,5.9496,0.0821,0.1321,0.205,0.3786,0.0
TUN_C26,0.1338,0.0292,0.0696,0.0894,0.2488,5.825,4.516,0.5032,1.8259,0.002,1.148,0.4556,1.2526,0.6565,1.0675,8.791,143.1842,22.0436,14.989,11.0505,5.2864,12.6364,3.8865,0.0093,17.7745,2.6693,1.3951,0.2163,0.4728,1.0257,0.602,1.4451,1.9541,7.4826,12.8408,0.6671,1.2943,11.0328,4.508,6.5685,0.1628,0.4655,0.2249,0.8381,0.0
TUN_C27,0.0871,0.0217,0.0547,0.1079,0.4126,4.2046,2.9533,0.279,0.5113,0.0015,0.5173,0.1418,0.5496,0.4582,1.2105,5.5814,25.3043,51.7433,18.0403,11.6565,3.1264,6.4574,6.4877,0.0059,44.4109,1.6107,1.1599,0.1119,0.1549,0.5328,0.1889,1.079,0.3544,1.9457,2.2336,0.1627,1.3882,4.1212,2.5755,1.8783,0.0396,0.0647,0.1122,0.2568,0.0
TUN_C28,1.0142,0.1486,0.8048,1.3799,3.5516,31.4805,32.1196,2.6332,4.7146,0.0115,2.9872,1.0079,3.6648,5.1845,9.0856,23.9756,23.0176,17.9957,135.3491,36.6926,10.6805,14.8475,10.7827,0.031,84.6447,3.238,4.2623,0.8242,1.275,2.7145,1.3096,1.9145,1.7726,2.3678,2.9547,0.3972,2.3361,8.371,8.4122,3.6747,0.0759,0.1713,0.223,0.3952,0.0
TUN_C29,0.3138,0.0385,0.086,0.2125,0.1521,6.2057,5.043,0.4652,0.711,0.0024,0.6136,0.185,0.797,0.8281,2.7219,10.5219,11.9508,8.9312,15.7501,113.2567,5.041,13.4268,1.216,0.0081,8.7695,2.5544,6.3306,0.1141,0.3184,1.0769,2.5233,0.7247,0.2918,2.154,1.3793,0.2821,1.4458,3.6267,6.7857,2.4683,0.0219,0.0676,0.1179,0.1766,0.0
TUN_C30,0.082,0.02,0.0198,0.0283,0.0195,0.2148,0.2495,0.048,0.068,0.0003,0.0383,0.0107,0.0658,0.0322,1.0512,2.5532,5.308,2.4002,5.4156,5.7513,9.1365,1.211,0.1803,0.0009,0.3966,0.1569,1.2361,0.7014,1.473,0.4269,0.2033,0.1544,0.01,0.1375,0.1605,0.0874,0.1487,0.5722,0.4536,0.4802,0.0052,0.0076,0.0311,0.0313,0.0
TUN_C31T33,0.2072,0.0391,0.6663,1.9776,3.6666,14.3136,12.2117,1.5942,1.1945,0.0,0.5207,0.3738,1.2808,0.726,0.3952,1.0806,2.259,0.8942,1.0664,0.933,0.6341,12.212,0.0112,0.6738,46.4948,8.2524,12.4306,1.8635,5.4274,5.66,1.8312,0.9124,0.6292,7.7249,6.3367,7.4578,5.5342,15.3333,15.3701,6.7317,0.2036,1.1302,0.4468,0.3629,0.0
TUN_D,8.2297,0.5882,69.729,22.3087,4.2567,102.2792,90.8405,4.5888,11.2381,0.0612,13.8292,2.386,6.7681,53.4411,32.6376,36.5903,32.1034,20.9909,20.7657,15.5762,5.1124,6.7401,2.4665,25.9647,6.5787,49.5934,7.4303,0.3456,0.8277,4.7152,3.4454,13.2369,1.6396,18.3871,12.6128,4.2155,22.4573,26.7227,16.4283,25.0773,0.6725,1.5389,1.3882,1.1125,0.0
TUN_E,6.271,0.6499,0.6159,0.5062,0.8542,7.2407,10.3539,0.2627,0.8264,0.0035,4.4066,1.1193,0.3545,0.674,0.8247,0.8042,0.5644,0.3737,0.5635,0.3028,0.1346,0.3345,0.2992,8.8365,3.0427,4.1797,0.1854,0.0273,0.0443,0.1453,0.0381,2.0183,0.2156,0.0777,2.6285,0.0661,5.4998,7.8534,4.9466,3.0472,0.0608,0.1607,0.1341,0.1362,0.0
TUN_F,5.2736,0.7672,23.9598,2.4253,2.8485,14.2985,8.8321,0.7876,1.2705,0.6644,2.257,1.156,0.8989,8.3767,4.2019,8.2143,2.6877,2.0458,2.5269,0.8799,0.2873,0.4285,1.5323,9.4792,82.796,13.7881,4.1921,0.6636,1.4947,1.1927,0.4293,1.4277,0.1316,1.3081,3.3494,1.7513,7.2987,6.0062,3.1708,3.8607,0.0721,0.1451,0.1431,0.1274,0.0
TUN_G,93.8971,16.2308,11.5466,12.2963,5.7823,445.4377,184.8847,28.5402,39.4082,1.8699,37.2816,19.7817,21.6681,37.5034,25.4381,77.347,92.3557,52.2015,90.2692,93.4075,16.5828,48.0338,14.6811,5.1505,230.8752,62.4114,51.2568,5.9085,16.0901,8.657,6.2856,73.2242,18.8797,11.9535,13.1303,6.5544,9.0166,27.7101,21.1715,37.5675,0.8621,2.1948,2.0619,3.0852,0.0
TUN_H49,11.7096,1.3075,115.585,26.3929,9.0277,71.9998,67.9565,5.7044,7.9343,2.3665,23.6955,8.753,5.8086,97.173,9.2853,23.6533,19.9281,14.066,23.6754,17.9953,3.4844,7.2604,3.1993,0.7156,116.2239,228.8102,152.6651,9.0189,14.4269,49.9235,6.3318,21.68,3.7624,5.3637,10.0218,9.4007,5.7588,23.2279,22.3312,46.5021,1.3462,1.7918,2.4307,2.7083,0.0
TUN_H50,0.7113,0.0476,0.0019,0.0028,0.0023,3.5044,0.3188,0.1241,0.1868,0.7511,0.7749,0.4898,0.2083,0.0015,0.0669,0.2594,0.2249,0.13,0.2476,0.3313,0.0381,0.33,0.4142,0.0409,0.7186,0.099,0.001,0.0008,0.0011,0.0008,0.002,0.269,0.0367,0.0061,0.0024,0.0063,0.0049,0.0121,0.0081,0.0022,0.0025,0.0024,0.0033,0.0044,0.0
TUN_H51,2.7452,0.3343,1.5496,0.6232,0.2406,12.8956,8.4961,0.8813,1.3987,1.8522,4.4129,2.0276,1.264,1.6477,1.2619,3.2866,3.0878,1.9583,3.4883,3.2105,0.6304,1.5763,1.6317,0.1779,8.7066,2.7321,2.0531,0.3061,2.2229,1.2034,0.2924,2.1211,0.3644,0.4771,0.6039,0.5074,0.3817,1.3125,1.224,1.6907,0.0333,0.085,0.0871,0.1284,0.0
TUN_H52,2.3258,0.3415,38.5363,11.0387,3.7442,16.2813,23.5256,1.4021,2.0465,0.2124,5.6463,2.0458,1.447,40.1537,3.3063,7.9231,6.5709,4.8015,6.9207,5.6525,1.3175,1.6218,0.5807,0.158,36.0657,146.2652,180.1776,50.9924,92.8445,161.2022,3.5535,5.8081,1.2654,3.048,4.1834,3.0318,1.9253,7.6507,10.0988,13.3738,0.196,0.3286,0.5456,0.9812,0.0
TUN_H53,0.6876,0.1231,4.1289,0.607,0.3028,4.0451,27.5464,0.2992,0.6864,0.0188,1.4367,0.6819,0.3863,1.9943,1.1334,5.7064,6.4308,3.2006,5.6106,2.8398,0.9894,0.5971,0.4108,0.1029,7.6749,32.4991,1.3128,0.1311,0.2796,1.1288,8.512,0.7607,1.6236,5.8253,7.189,14.4806,3.7645,15.9442,8.8814,21.9742,0.313,0.5383,0.6216,1.1243,0.0
TUN_I,0.0,0.0,0.1252,0.4339,0.8899,0.3657,3.0459,0.0642,0.116,0.0476,0.0305,0.0158,0.0507,0.2018,0.0975,0.4231,0.2523,0.2162,0.3087,0.0,0.0,0.0,2.3776,0.0303,1.4026,1.9657,5.7633,0.4888,4.3181,2.449,0.0,0.0331,0.3722,0.0,0.18,10.4291,0.0562,0.2721,0.2666,9.5746,0.1848,0.393,0.2423,0.3943,0.0
TUN_J58T60,0.3116,0.0595,0.3269,0.2463,0.2825,5.7038,6.8116,1.872,6.5948,0.0148,1.0075,0.4787,1.1901,0.6723,0.2613,1.3182,2.2515,1.2081,1.1469,0.8608,0.3578,1.7178,0.0423,0.9294,3.1734,11.2964,0.9692,0.1179,0.402,0.7531,0.3674,0.2496,26.9231,1.3988,3.6828,7.1184,1.0968,11.0247,2.6243,9.4613,0.5862,0.2711,0.9146,0.4877,0.0
TUN_J61,2.4756,0.4305,18.9041,2.0186,1.0207,11.9417,84.3247,1.0172,1.8715,0.0552,3.743,1.639,1.2997,6.3372,3.797,17.0217,20.0518,9.8232,15.8398,7.4276,3.3793,2.2717,0.9896,0.2879,33.1581,74.3715,5.5062,0.5203,1.1722,3.2412,0.8702,3.5769,5.902,20.5308,36.9549,40.3536,14.3706,51.6588,24.3477,75.1749,1.1463,2.6501,3.4796,3.1138,0.0
TUN_J62_63,1.1964,0.2304,3.6346,1.816,0.7717,5.9661,15.7103,0.4932,1.2883,0.4058,0.7991,0.3525,0.6734,1.1305,0.8023,3.0969,6.4188,2.4018,3.2062,2.6439,0.7415,1.1733,0.6519,0.199,19.5416,3.1582,4.1364,0.5121,2.1661,2.9965,2.9225,1.0153,3.0884,16.089,15.9436,12.4178,1.5013,5.882,2.434,13.1378,0.1712,0.3945,0.5787,0.5356,0.0
TUN_K,81.1771,7.4069,28.8186,13.3061,5.3463,67.6815,63.5378,6.1039,11.1027,1.6886,17.6805,6.07,8.4168,17.8299,9.2482,25.9729,27.2107,15.8575,21.3718,17.4154,5.2716,9.0947,6.5286,5.4878,106.5175,88.5808,56.632,8.0903,15.9497,27.4418,5.0003,36.4663,7.7439,17.3983,42.0882,73.8398,96.9681,89.5539,76.1267,55.8028,0.9479,1.9635,2.6392,3.0404,0.0
TUN_L,2.7169,0.3465,3.1741,2.2811,1.3505,12.3814,20.9624,1.0982,2.4662,0.4919,0.9628,0.4295,1.636,1.7741,1.4112,7.0124,5.0162,3.263,4.317,2.7046,1.0958,4.1447,0.5406,0.2037,37.8283,10.4328,6.6121,0.5312,1.5492,6.2111,3.6243,2.8631,2.7607,15.4765,5.6313,10.3787,15.092,16.6669,7.9275,23.3784,0.7607,1.6564,1.883,2.1183,0.0
TUN_M,9.4355,1.3984,12.5816,8.4598,9.9297,47.2555,45.2045,3.0348,6.7969,2.0259,6.0463,4.8277,4.8997,5.1614,4.0238,13.602,22.9733,15.307,16.2152,15.1885,3.6714,7.4521,1.7893,0.7703,103.5733,15.9046,12.8989,2.0933,4.3398,9.2521,5.6764,3.2799,11.6147,32.0664,18.5123,29.5312,11.5893,82.3083,17.0967,44.3715,1.0801,2.0412,4.8376,3.991,0.0
TUN_N,5.4972,0.8469,7.6239,5.641,10.9682,20.7247,25.7177,1.9112,4.0559,1.0998,2.4535,1.2653,2.7427,3.5078,2.285,10.0072,11.8371,6.8022,8.2973,6.417,2.7374,5.5671,1.1582,0.6583,72.7042,10.0766,16.4429,2.5825,6.3025,10.8282,8.0638,2.5642,5.4826,24.6741,13.3819,16.361,13.9174,29.8897,24.9343,37.1641,0.9429,2.4188,3.3385,2.2648,0.0
TUN_O,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_P,0.0,0.0,0.0,0.0001,0.0059,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0003,0.0003,0.0001,0.0002,0.0002,0.0001,0.0,0.0,0.0004,0.0007,0.0007,0.0003,0.0013,0.0005,0.0001,0.0,0.0,0.0,0.0,0.0
TUN_Q,0.0,0.0,0.0,0.0002,0.0071,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0003,0.0006,0.0001,0.0001,0.0003,0.0002,0.0001,0.0,0.0003,0.0005,0.001,0.0004,0.0019,0.0008,0.0002,0.0,0.0001,0.0,0.0,0.0
TUN_R,0.0,0.0,0.0006,0.0018,0.0594,0.006,0.0053,0.0001,0.0001,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0003,0.0172,0.0073,0.0069,0.0024,0.0027,0.0055,0.003,0.0019,0.0008,0.0075,0.0094,0.0106,0.0046,0.0351,0.0199,0.0027,0.0002,0.0002,0.0044,0.0005,0.0
TUN_S,0.0001,0.0,0.0016,0.0058,4.1637,0.0115,0.0123,0.0001,0.0004,0.0007,0.0001,0.0,0.0002,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0013,0.0,0.0009,0.0481,0.0144,0.0172,0.0024,0.0072,0.0112,0.0077,0.0039,0.0004,0.0197,0.0271,0.0314,0.0164,0.0623,0.0333,0.0051,0.0001,0.0006,0.0004,0.0013,0.0
TUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
